"","x"
"logLoss",2.32625759489415
"AUC",0.895588191376037
"prAUC",0.443816225293189
"Accuracy",0.466101694915254
"Kappa",0.434813768830671
"Mean_F1",0.461256643542288
"Mean_Sensitivity",0.489291586263347
"Mean_Specificity",0.976488788216926
"Mean_Pos_Pred_Value",0.456713841965816
"Mean_Neg_Pred_Value",0.976429354991339
"Mean_Precision",0.456713841965816
"Mean_Recall",0.489291586263347
"Mean_Detection_Rate",0.0194209039548023
"Mean_Balanced_Accuracy",0.732890187240137
