"","pred","obs","BLCA","BRCA","CESC","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PRAD","READ","SARC","SKCM","STAD","THCA","UCEC","UVM","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"1","STAD","OV",0.0369867198169231,0.0358443930745125,0.0561850890517235,0.036083709448576,0.0348244868218899,0.0343354605138302,0.0372004508972168,0.0379563793540001,0.0341190956532955,0.0340881086885929,0.0406047590076923,0.0471912734210491,0.0344622172415257,0.0367018058896065,0.0599737800657749,0.0587436519563198,0.0345233082771301,0.0354968309402466,0.0346405357122421,0.0596160665154457,0.0648960247635841,0.0378713719546795,0.0434066914021969,0.0342477895319462,24,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"2","BRCA","OV",0.0442244410514832,0.087746761739254,0.0334297940135002,0.0614812523126602,0.0334025695919991,0.0335346721112728,0.0342756807804108,0.0473605319857597,0.0334299653768539,0.0333996005356312,0.0350635312497616,0.0366248041391373,0.0418579056859016,0.0359605066478252,0.0334203764796257,0.0495051220059395,0.0363033078610897,0.0624206103384495,0.0334005020558834,0.0450717471539974,0.0360552631318569,0.0366499871015549,0.0419632866978645,0.0334177352488041,32,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"3","OV","OV",0.0519925877451897,0.0281971134245396,0.0268397685140371,0.0283853728324175,0.0268179103732109,0.0269585270434618,0.0926525145769119,0.0351746007800102,0.0268399026244879,0.0268155243247747,0.0270147565752268,0.0318498387932777,0.0271098203957081,0.0323901511728764,0.0455939769744873,0.187823832035065,0.0271578785032034,0.0279237050563097,0.0268162526190281,0.0326937586069107,0.0320735350251198,0.0699025690555573,0.0341460220515728,0.0268300902098417,38,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"4","KIRP","LIHC",0.0334357246756554,0.0307625979185104,0.0298635605722666,0.0373639725148678,0.0298392381519079,0.0299956984817982,0.0298519153147936,0.036210909485817,0.0521515533328056,0.0298365894705057,0.168685495853424,0.0325982794165611,0.082353912293911,0.0321794338524342,0.0298551470041275,0.0363909862935543,0.0349315367639065,0.0316247344017029,0.0298373959958553,0.04208754748106,0.0322089456021786,0.0469668470323086,0.0311151631176472,0.0298527907580137,47,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"5","LIHC","LIHC",0.037489227950573,0.0277937278151512,0.0269814524799585,0.0286661330610514,0.0269594807177782,0.0271008405834436,0.0269709378480911,0.0332710854709148,0.026981595903635,0.0269570834934711,0.066297821700573,0.0301425438374281,0.289575457572937,0.0313698351383209,0.02697385661304,0.0270295441150665,0.0290856491774321,0.0280711129307747,0.0269578155130148,0.0293933507055044,0.0291004925966263,0.0417323224246502,0.0281268768012524,0.0269717238843441,50,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"6","LIHC","LIHC",0.0390483178198338,0.0379770174622536,0.0361488908529282,0.0663813725113869,0.0361915118992329,0.0363088399171829,0.0361347980797291,0.04032301902771,0.0362574979662895,0.0361162424087524,0.0522969886660576,0.0396629087626934,0.0762889683246613,0.0389521792531013,0.0361387096345425,0.0362133160233498,0.0365773364901543,0.0458984710276127,0.0361172221601009,0.0467923805117607,0.0387505851686001,0.0416040755808353,0.0376834906637669,0.0361358560621738,62,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"7","HNSC","HNSC",0.0387406311929226,0.0382201299071312,0.036107562482357,0.0381868667900562,0.0360781587660313,0.0362673252820969,0.0360934808850288,0.062441561371088,0.0364718809723854,0.0360749512910843,0.0373394638299942,0.0420659333467484,0.0395247302949429,0.0605563260614872,0.0360973924398422,0.0439629554748535,0.0609433725476265,0.0382369719445705,0.0368143394589424,0.0385183282196522,0.0435612350702286,0.0539614409208298,0.0376404039561749,0.0360945388674736,84,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"8","STAD","HNSC",0.120032958686352,0.0295910052955151,0.0279554035514593,0.0403247363865376,0.0280833300203085,0.0280431061983109,0.027944503352046,0.039177130907774,0.0279555451124907,0.0279301553964615,0.0280724596232176,0.0307893939316273,0.0282366797327995,0.0300716906785965,0.0279475245624781,0.0284306015819311,0.040283914655447,0.0290843918919563,0.0279309097677469,0.0548343621194363,0.163473412394524,0.033122081309557,0.0527393668889999,0.0279453210532665,99,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"9","HNSC","HNSC",0.056916318833828,0.0293759386986494,0.0307084415107965,0.0320255756378174,0.0284942016005516,0.0286436080932617,0.0285063050687313,0.137357085943222,0.0339350178837776,0.0284916684031487,0.0399975255131721,0.031232662498951,0.0312251597642899,0.039465244859457,0.0285093896090984,0.0286672729998827,0.0449857339262962,0.0375606417655945,0.0284924414008856,0.0692036002874374,0.0682412907481194,0.0515906102955341,0.0378671139478683,0.0285071413964033,100,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"10","SKCM","HNSC",0.0513446964323521,0.0328707657754421,0.0328619368374348,0.0337477065622807,0.0318841300904751,0.0320513062179089,0.0318976752460003,0.0369644910097122,0.0319102741777897,0.031881295144558,0.0320437327027321,0.0684868991374969,0.037004541605711,0.0343257822096348,0.031901128590107,0.0320777893066406,0.048016220331192,0.033198818564415,0.0318821594119072,0.125138580799103,0.0398285277187824,0.0382566712796688,0.0685262456536293,0.0318986102938652,103,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"11","HNSC","HNSC",0.040733776986599,0.0369529835879803,0.0358730331063271,0.037938829511404,0.0358438193798065,0.0360317640006542,0.0358590446412563,0.0947472900152206,0.0358732156455517,0.0358406342566013,0.0404943190515041,0.041792705655098,0.0367192327976227,0.0386549308896065,0.0358629301190376,0.0365658923983574,0.0625548362731934,0.037448488175869,0.036575224250555,0.0385652668774128,0.0386903882026672,0.0571253560483456,0.0373959206044674,0.0358600951731205,107,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"12","HNSC","HNSC",0.032749380916357,0.0220546163618565,0.0206325836479664,0.0231289602816105,0.0206157825887203,0.0207238774746656,0.0206245426088572,0.320774912834167,0.0208407640457153,0.0206139497458935,0.0289008151739836,0.0330235846340656,0.0341020599007607,0.0222326070070267,0.0206267759203911,0.0233159605413675,0.0777492821216583,0.0324783995747566,0.0206145085394382,0.047084704041481,0.0347268655896187,0.0382410511374474,0.043518889695406,0.0206251423805952,112,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"13","HNSC","HNSC",0.0354765020310879,0.0337110050022602,0.0327257998287678,0.0530998632311821,0.0326991491019726,0.032870601862669,0.0327130407094955,0.113856412470341,0.0330559946596622,0.0326962396502495,0.0432789213955402,0.0402315147221088,0.0339810810983181,0.0422284230589867,0.0327165797352791,0.0907358899712563,0.0331136733293533,0.0340474434196949,0.0326971299946308,0.0423614084720612,0.0382306091487408,0.0366087295114994,0.0341499522328377,0.0327139981091022,127,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"14","HNSC","HNSC",0.0546379946172237,0.0279865581542253,0.0293380469083786,0.028733192011714,0.0271465219557285,0.0272888634353876,0.0271580535918474,0.190383553504944,0.0377818644046783,0.0271441079676151,0.0300676841288805,0.0356001518666744,0.0274420082569122,0.0293169040232897,0.0271609965711832,0.0273114107549191,0.0293462201952934,0.0282584372907877,0.0271448455750942,0.096329391002655,0.0353241674602032,0.0476864688098431,0.0542537122964859,0.0271588508039713,131,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"15","HNSC","HNSC",0.0390832014381886,0.0356176681816578,0.0522032380104065,0.0461254380643368,0.0338755063712597,0.0349835343658924,0.0338898971676826,0.0752758458256721,0.0342451930046082,0.0338724963366985,0.0478865653276443,0.0430765561759472,0.0407341085374355,0.0364696606993675,0.0338935665786266,0.0580192618072033,0.0389920398592949,0.0360137559473515,0.0344214290380478,0.0366391874849796,0.0378301814198494,0.0466895289719105,0.0409995466470718,0.0491626113653183,156,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"16","HNSC","HNSC",0.0266906004399061,0.0361813642084599,0.0417567417025566,0.0562738999724388,0.0225245766341686,0.060661356896162,0.0225341487675905,0.174572169780731,0.0228152610361576,0.0225225724279881,0.036733403801918,0.0359146110713482,0.051894124597311,0.0308720525354147,0.022536588832736,0.0236787497997284,0.0239004585891962,0.0530898980796337,0.042147196829319,0.0244974307715893,0.0366740226745605,0.0291656516492367,0.0723179653286934,0.0300451871007681,157,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"17","UVM","HNSC",0.0421038679778576,0.0202507469803095,0.0531661882996559,0.0207910053431988,0.0196429081261158,0.0708069279789925,0.0196512546390295,0.0531112737953663,0.0196590181440115,0.0196411609649658,0.0197412334382534,0.0232828501611948,0.0202092155814171,0.0211471412330866,0.0196533817797899,0.0199920665472746,0.0248757153749466,0.0204528514295816,0.0196416936814785,0.0216750632971525,0.0282159838825464,0.0234378781169653,0.0254086423665285,0.373441934585571,193,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"18","GBM","HNSC",0.0586317740380764,0.0317557454109192,0.0282334443181753,0.0298593044281006,0.0282104499638081,0.0283583682030439,0.143794342875481,0.0486797466874123,0.0282335858792067,0.028207940980792,0.0356962382793427,0.0356273129582405,0.0284855086356401,0.030370781198144,0.0545456185936928,0.0487942956387997,0.0523448064923286,0.0357336774468422,0.0282087083905935,0.0412294864654541,0.0319632105529308,0.0648136213421822,0.0299987606704235,0.0282232630997896,194,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"19","UCEC","HNSC",0.0414232797920704,0.0332382842898369,0.0286688711494207,0.053250964730978,0.0986228212714195,0.0287588126957417,0.0286576915532351,0.0554477497935295,0.0286690145730972,0.0286429729312658,0.0287889149039984,0.0317408256232738,0.0289573241025209,0.0308391712605953,0.0286607928574085,0.0286939144134521,0.0290635712444782,0.0387527197599411,0.0286437515169382,0.0423681698739529,0.067712277173996,0.0396230183541775,0.122116580605507,0.0286585316061974,198,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
