"","pred","obs","BLCA","BRCA","CESC","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PRAD","READ","SARC","SKCM","STAD","THCA","UCEC","UVM","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"1","READ","COAD",0.0260302256792784,0.0250202249735594,0.0396846905350685,0.214393213391304,0.0212620943784714,0.0228632986545563,0.0216631963849068,0.0223262067884207,0.0212662220001221,0.0212660171091557,0.021341547369957,0.0357572920620441,0.0212661903351545,0.0249874610453844,0.0273033678531647,0.0213012807071209,0.0213236622512341,0.225865483283997,0.0212635491043329,0.0318769291043282,0.0256579164415598,0.0386913605034351,0.0263217575848103,0.0212668292224407,2,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"2","READ","READ",0.0414129942655563,0.0230561569333076,0.0254557263106108,0.0524030067026615,0.0227573737502098,0.0245891772210598,0.02277010679245,0.0238963216543198,0.0227617900818586,0.0227615740150213,0.0228424128144979,0.0284798145294189,0.0227617584168911,0.0254030581563711,0.0227689668536186,0.022799314931035,0.0228232722729445,0.381304353475571,0.0227589309215546,0.0335597097873688,0.0251350663602352,0.0356889069080353,0.0288277361541986,0.0229824334383011,4,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"3","LUAD","LUAD",0.0306937117129564,0.110394597053528,0.0230517778545618,0.0225735306739807,0.0222219657152891,0.0222244970500469,0.0222343970090151,0.0233341157436371,0.0222262777388096,0.0222260653972626,0.02222765609622,0.0935573056340218,0.022226246073842,0.191486820578575,0.022233285009861,0.0222629196941853,0.087585486471653,0.0223983377218246,0.0222234856337309,0.034869484603405,0.0261681992560625,0.045829351991415,0.0435235612094402,0.0222269147634506,11,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"4","STAD","STAD",0.0279620680958033,0.0186863876879215,0.019158624112606,0.0189391411840916,0.0168561562895775,0.0168580785393715,0.0168655887246132,0.142274677753448,0.0168594289571047,0.0168592687696218,0.0168604739010334,0.0217464696615934,0.0168594047427177,0.0226783510297537,0.0168647430837154,0.0168872233480215,0.0367331206798553,0.0169899426400661,0.01685731112957,0.0187273807823658,0.420785427093506,0.0236717537045479,0.0261590611189604,0.0168599113821983,14,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"5","LUAD","LUAD",0.0674818158149719,0.0860038623213768,0.0253277160227299,0.0248022507876158,0.0244159772992134,0.0244187582284212,0.0244296360760927,0.0282798167318106,0.0244207158684731,0.0244204830378294,0.0244222283363342,0.0417440384626389,0.0244206804782152,0.193790197372437,0.0244284141808748,0.0244609769433737,0.0263646971434355,0.024609761312604,0.0244176462292671,0.0303818713873625,0.028751827776432,0.0980670303106308,0.0557181648910046,0.024421414360404,34,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"6","PRAD","LUAD",0.0463559925556183,0.0340040661394596,0.0316172018647194,0.0309612508863211,0.0304790530353785,0.0304825305938721,0.0304961055517197,0.0320044457912445,0.0304849725216627,0.0304846744984388,0.0304868593811989,0.0713714361190796,0.0304849222302437,0.0454999655485153,0.0304945781826973,0.030535226687789,0.137160435318947,0.0307209584861994,0.0304811410605907,0.038536973297596,0.0358916036784649,0.0670645162463188,0.0634152442216873,0.0304858405143023,49,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"7","COAD","COAD",0.0281011089682579,0.0146842114627361,0.0166919603943825,0.43075230717659,0.0145137934014201,0.0616567432880402,0.0164516866207123,0.0184277817606926,0.0145166087895632,0.0145164709538221,0.0145680280402303,0.0179401431232691,0.0145165883004665,0.0170567780733109,0.0364760681986809,0.0148203587159514,0.0145558211952448,0.109271183609962,0.0145147861912847,0.0174246039241552,0.0291885063052177,0.0364418104290962,0.0154982004314661,0.0174144487828016,51,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"8","COAD","COAD",0.0237081740051508,0.0160966888070107,0.0285921599715948,0.473201096057892,0.0159440655261278,0.0159458834677935,0.0162448436021805,0.0172063149511814,0.0159471593797207,0.0163131579756737,0.0160036440938711,0.0183509066700935,0.0159471370279789,0.0164485331624746,0.0161372199654579,0.0159734487533569,0.0159902349114418,0.140567570924759,0.0159451570361853,0.016573766246438,0.0226094778627157,0.0172802563756704,0.0170254819095135,0.0159476157277822,57,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"9","ESCA","ESCA",0.0385290533304214,0.0203092079609632,0.0395747609436512,0.0204348992556334,0.0201166421175003,0.444175541400909,0.020127896219492,0.023008493706584,0.0247635990381241,0.0201203543692827,0.0201217941939831,0.0204689782112837,0.0201205164194107,0.0202377680689096,0.0201268885284662,0.0201537162065506,0.0201748944818974,0.0202763043344021,0.0201180186122656,0.0212594475597143,0.029512258246541,0.0358030498027802,0.020191352814436,0.0402745455503464,70,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"10","UVM","UVM",0.0741062238812447,0.024748807772994,0.105475671589375,0.0249019749462605,0.0245141480118036,0.0494451262056828,0.0245278626680374,0.0257410164922476,0.0245189052075148,0.0245186723768711,0.0245204251259565,0.0249435063451529,0.0245188698172569,0.0246617533266544,0.0245266351848841,0.0245593264698982,0.024585135281086,0.0247087106108665,0.0245158243924379,0.0259067714214325,0.0270753894001245,0.047243345528841,0.0246051885187626,0.251130700111389,80,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"11","COAD","COAD",0.0356308184564114,0.0282965209335089,0.0287943370640278,0.256004899740219,0.0277578067034483,0.0277609694749117,0.0277733374387026,0.0291470102965832,0.0277631934732199,0.0277629289776087,0.0278615299612284,0.0486519299447536,0.0277631524950266,0.0309848226606846,0.0277719460427761,0.0278089623898268,0.0278381854295731,0.0279781147837639,0.0277597047388554,0.0335327051579952,0.0306579452008009,0.0817731842398643,0.0351619943976402,0.0277639888226986,89,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"12","COAD","COAD",0.0339344367384911,0.027640437707305,0.028142161667347,0.180325552821159,0.0271914433687925,0.0271945465356112,0.0272066574543715,0.0285522993654013,0.0271967221051455,0.0271964576095343,0.0272930487990379,0.0333418063819408,0.0271966774016619,0.0372435599565506,0.0272052939981222,0.0272415559738874,0.0272701792418957,0.103733152151108,0.0271933041512966,0.0647877231240273,0.0301652420312166,0.0739092379808426,0.0316410288214684,0.0271974988281727,91,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"13","COAD","COAD",0.0411017648875713,0.0287986472249031,0.0223415549844503,0.213052049279213,0.0216223262250423,0.0217290595173836,0.0220302231609821,0.0233341082930565,0.0216265227645636,0.021626316010952,0.0217031240463257,0.0301500633358955,0.021626491099596,0.0254265293478966,0.0253884624689817,0.021662175655365,0.0216849371790886,0.127357974648476,0.0216238051652908,0.0569666028022766,0.112383767962456,0.0277464650571346,0.0273899212479591,0.0216271411627531,92,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"14","READ","READ",0.0330879725515842,0.0343243107199669,0.0452718362212181,0.0677193701267242,0.0302257277071476,0.0394536852836609,0.0346954762935638,0.0358961746096611,0.0306153316050768,0.03892457857728,0.0305988565087318,0.0364854745566845,0.0302315484732389,0.0634945705533028,0.0532380603253841,0.0357632003724575,0.0303132478147745,0.119289085268974,0.0325355492532253,0.0315677933394909,0.0375398471951485,0.0342903174459934,0.0430136770009995,0.0314243324100971,100,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"15","READ","READ",0.0377681069076061,0.0297044850885868,0.0305215418338776,0.0850147604942322,0.0294228363782167,0.0294261910021305,0.0294392965734005,0.0317521616816521,0.0294285453855991,0.0294282659888268,0.0295327845960855,0.0444566756486893,0.0294285044074059,0.0328434184193611,0.0294378232210875,0.0294770635664463,0.0295080356299877,0.219225779175758,0.0294248480349779,0.035544142127037,0.0324969366192818,0.0377563238143921,0.0295321084558964,0.0294293891638517,104,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"16","COAD","COAD",0.0411150529980659,0.0181752424687147,0.0222505424171686,0.447701126337051,0.0180029086768627,0.0748557522892952,0.0247356053441763,0.0196078605949879,0.0180064011365175,0.0180062297731638,0.0180701818317175,0.0201653484255075,0.0180063769221306,0.0181645415723324,0.0196163207292557,0.0183831732720137,0.0180550403892994,0.0393884927034378,0.0180041398853064,0.0277294386178255,0.0223416909575462,0.0219354834407568,0.0180697664618492,0.0196132846176624,131,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"17","UVM","ESCA",0.171774864196777,0.0228868722915649,0.0975403860211372,0.0230285152792931,0.0226698648184538,0.0457252003252506,0.0226825475692749,0.0238044317811728,0.0226742662489414,0.022674048319459,0.0226756706833839,0.0230669211596251,0.0226742327213287,0.0228063650429249,0.022681413218379,0.0227116458117962,0.0227355100214481,0.0228497907519341,0.0226714164018631,0.0239577181637287,0.0250384174287319,0.0436890684068203,0.0227540582418442,0.204226732254028,150,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"18","UCEC","UCEC",0.053083922713995,0.0383676700294018,0.0356745049357414,0.0349343791604042,0.0343903042376041,0.0343942269682884,0.0344095453619957,0.036111444234848,0.034396979957819,0.0343966484069824,0.03439911454916,0.0584701560437679,0.0343969240784645,0.0681125298142433,0.0344078205525875,0.0344536826014519,0.0344898886978626,0.0346632488071918,0.0343926586210728,0.0415450669825077,0.0493457987904549,0.0652124434709549,0.0715530589222908,0.0343979634344578,156,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"19","LUAD","BRCA",0.0325488485395908,0.117066890001297,0.0244450308382511,0.0239378791302443,0.0235650669783354,0.0235677547752857,0.0235782526433468,0.0247444324195385,0.023569643497467,0.0235694125294685,0.0235711019486189,0.0719614997506142,0.0235696062445641,0.169870480895042,0.023577069863677,0.02360849827528,0.0928791761398315,0.0237520951777697,0.0235666800290346,0.0369770079851151,0.0277498140931129,0.0485992878675461,0.0461541414260864,0.0235703140497208,167,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"20","STAD","STAD",0.0399637520313263,0.0289599187672138,0.0295732207596302,0.0363068357110023,0.0285086520016193,0.0285119023174047,0.0285246018320322,0.0677712932229042,0.0285141859203577,0.0285139158368111,0.0285159535706043,0.0388094522058964,0.0285141468048096,0.0403369516134262,0.0285231750458479,0.028561195358634,0.0285912062972784,0.0287349205464125,0.0285106040537357,0.0375568754971027,0.242225527763367,0.0370144322514534,0.0304422713816166,0.0285150017589331,168,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"21","PRAD","STAD",0.0411515384912491,0.0332390442490578,0.0309058781713247,0.0302646830677986,0.0297933351248503,0.0297967325896025,0.0298100039362907,0.0312844105064869,0.0297991205006838,0.0297988299280405,0.0298009645193815,0.0909809991717339,0.0297990702092648,0.0444763042032719,0.0298085100948811,0.0298482440412045,0.134074598550797,0.0300297960639,0.0297953747212887,0.0467500612139702,0.0350841134786606,0.0655556917190552,0.0583527199923992,0.0297999698668718,188,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"22","READ","READ",0.0285353809595108,0.0225069057196379,0.0230602994561195,0.0486571602523327,0.0222301818430424,0.0222327169030905,0.0222426187247038,0.023990087211132,0.022234495729208,0.022234283387661,0.0223132520914078,0.0387177504599094,0.0222344640642405,0.0248145703226328,0.0222415067255497,0.0222711525857449,0.0222945529967546,0.409426599740982,0.0222317036241293,0.0333283208310604,0.024552796036005,0.0331012979149818,0.0223127398639917,0.022235132753849,215,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"23","UCEC","UCEC",0.0707065835595131,0.0327302478253841,0.0304327942430973,0.0298014152795076,0.0293372813612223,0.0293406303972006,0.0293536968529224,0.0308055318892002,0.0293429810553789,0.0293426942080259,0.0293447952717543,0.0392747186124325,0.0293429307639599,0.0479445271193981,0.0293522272258997,0.0293913520872593,0.0526872575283051,0.0295701250433922,0.0293392892926931,0.0403661951422691,0.0334257520735264,0.0645522177219391,0.174870908260345,0.0293438155204058,219,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"24","THCA","THCA",0.0401778668165207,0.0336784869432449,0.0313144661486149,0.0306647978723049,0.0301872193813324,0.0301906634122133,0.0302041061222553,0.0316980071365833,0.0301930829882622,0.0301927849650383,0.0301949493587017,0.0663365572690964,0.0301930289715528,0.0597880110144615,0.0302025936543941,0.0302428547292948,0.090414322912693,0.0304268058389425,0.0301892850548029,0.0409294627606869,0.0343941375613213,0.118868418037891,0.0591241717338562,0.0301939398050308,228,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"25","READ","COAD",0.0295261479914188,0.0232222154736519,0.0279797613620758,0.141544550657272,0.023002028465271,0.0230046510696411,0.0230148993432522,0.024823036044836,0.0230064932256937,0.0230062734335661,0.0230079181492329,0.0313131622970104,0.0230064615607262,0.0415161028504372,0.0230137445032597,0.0231469459831715,0.0230686366558075,0.285194128751755,0.0230036024004221,0.0311873909085989,0.0254052821546793,0.0374372899532318,0.0245621576905251,0.0230071507394314,251,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"26","LUAD","READ",0.0372501090168953,0.0680552944540977,0.0194208547472954,0.0190179385244846,0.0187217500060797,0.0187238827347755,0.0187322236597538,0.0196587238460779,0.0187253840267658,0.0187252052128315,0.0187265425920486,0.0404171720147133,0.0187253560870886,0.386793524026871,0.0187312848865986,0.0243269018828869,0.0439667552709579,0.0188703387975693,0.0187230296432972,0.0394213162362576,0.0220464095473289,0.0333385057747364,0.0401555560529232,0.0187259186059237,254,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
