"","x"
"logLoss",2.21638962439636
"AUC",0.920902033490125
"prAUC",0.442107289635527
"Accuracy",0.441431044431621
"Kappa",0.409720790302433
"Mean_F1",0.462543198885936
"Mean_Sensitivity",0.516498834366577
"Mean_Specificity",0.975421599477536
"Mean_Pos_Pred_Value",0.476163594265709
"Mean_Neg_Pred_Value",0.975488966564914
"Mean_Precision",0.47616359426571
"Mean_Recall",0.516498834366577
"Mean_Detection_Rate",0.0183929601846509
"Mean_Balanced_Accuracy",0.745960216922056
