"","pred","obs","BLCA","BRCA","CESC","COAD","ESCA","GBM","KIRC","LGG","LUAD","OV","PRAD","STAD","THCA","UCS","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"1","KIRC","KIRC",0.0371214263141155,0.0371018387377262,0.0371044874191284,0.0371022336184978,0.0370548255741596,0.0370522104203701,0.491499334573746,0.0370597913861275,0.0371175333857536,0.0586451441049576,0.0371078364551067,0.0417870841920376,0.0371194891631603,0.0371267274022102,2,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"2","KIRC","KIRC",0.0490318909287453,0.0490060187876225,0.0490095242857933,0.0490065440535545,0.0489439181983471,0.0489404685795307,0.362923264503479,0.0489504784345627,0.0490267463028431,0.0490298792719841,0.0490139424800873,0.0490491054952145,0.0490293316543102,0.0490388944745064,15,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"3","KIRC","KIRC",0.0334432050585747,0.0334255546331406,0.0334279462695122,0.0334259159862995,0.0333832018077374,0.0333808474242687,0.565468788146973,0.0333876758813858,0.0334396958351135,0.0334418341517448,0.0334309600293636,0.0334549434483051,0.0334414578974247,0.0334479808807373,19,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"4","KIRC","KIRC",0.0538260415196419,0.0537976250052452,0.0538014806807041,0.0537982061505318,0.0537294708192348,0.0537256710231304,0.300632447004318,0.0537366569042206,0.0538203865289688,0.053823821246624,0.0538063235580921,0.0538449212908745,0.0538232214748859,0.0538337267935276,31,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"5","KIRC","KIRC",0.0361857302486897,0.0361666344106197,0.0361692197620869,0.0361670218408108,0.0361208133399487,0.0361182577908039,0.529834866523743,0.0361256487667561,0.0361819304525852,0.0361842438578606,0.036172479391098,0.0361984297633171,0.036183837801218,0.0361908972263336,32,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"6","KIRC","KIRC",0.0488398037850857,0.0488140285015106,0.0488175190985203,0.0488145537674427,0.0487521775066853,0.0487487353384495,0.365419119596481,0.0487587116658688,0.048834677785635,0.0488377995789051,0.0488219186663628,0.0488569475710392,0.0488372556865215,0.0488467775285244,35,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"7","OV","OV",0.0363413654267788,0.0363221876323223,0.0363247878849506,0.0363225787878036,0.0368731655180454,0.0362736061215401,0.0363602079451084,0.0362810268998146,0.0363375544548035,0.495572239160538,0.036328062415123,0.0679772347211838,0.0363394692540169,0.0363465584814548,52,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"8","GBM","GBM",0.0342283435165882,0.034210279583931,0.0342127270996571,0.0342106483876705,0.034166943281889,0.555132150650024,0.0342997573316097,0.0341715104877949,0.0342247523367405,0.0342269390821457,0.0342158116400242,0.0342403575778008,0.0342265553772449,0.0342332310974598,62,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"9","STAD","STAD",0.0298561491072178,0.0298403929919004,0.0298425275832415,0.0298407133668661,0.0602118149399757,0.0312417820096016,0.0299237929284573,0.0298065766692162,0.0298530161380768,0.0998674407601357,0.029845217242837,0.509611129760742,0.0303990598767996,0.0298604127019644,69,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"10","KIRC","KIRC",0.0360097177326679,0.0359907150268555,0.0359932892024517,0.0359910987317562,0.0359451174736023,0.0359425731003284,0.527257680892944,0.0359499268233776,0.036005936563015,0.0360082387924194,0.0359965339303017,0.0397137627005577,0.0371805764734745,0.0360148586332798,71,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"11","KIRC","KIRC",0.0330156497657299,0.033493135124445,0.0326534025371075,0.0326514206826687,0.0326096974313259,0.0327469445765018,0.552366614341736,0.032614067196846,0.0326648838818073,0.0374093875288963,0.0326563492417336,0.0497789122164249,0.0326666012406349,0.0326729752123356,72,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"12","STAD","STAD",0.0357662439346313,0.0357473716139793,0.0357499271631241,0.0357477553188801,0.038296353071928,0.0356995537877083,0.0357847884297371,0.0357068590819836,0.0357624962925911,0.148209050297737,0.0357531495392323,0.420240700244904,0.0357643775641918,0.0357713513076305,103,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"13","KIRC","KIRC",0.0334884449839592,0.0339727662503719,0.033121008425951,0.0331189967691898,0.0330766774713993,0.0330743417143822,0.560276627540588,0.0330811105668545,0.033132653683424,0.0331347696483135,0.0331239961087704,0.0411233231425285,0.0331343971192837,0.0331408604979515,131,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"14","KIRC","KIRC",0.0330983549356461,0.0330808907747269,0.0330832563340664,0.0330812446773052,0.0406296998262405,0.0331780277192593,0.55963796377182,0.0330433994531631,0.0330948866903782,0.0330969989299774,0.0330862402915955,0.0356892719864845,0.0330966264009476,0.0331030860543251,133,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"15","KIRC","KIRC",0.0360519960522652,0.0360329709947109,0.0360355488955975,0.036033358424902,0.0359873212873936,0.0359847731888294,0.527876734733582,0.0359921343624592,0.0360482111573219,0.0360505171120167,0.0360387973487377,0.0397603921592236,0.0360501110553741,0.0360571444034576,160,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"16","KIRC","KIRC",0.0334432050585747,0.0334255546331406,0.0334279462695122,0.0334259159862995,0.0333832018077374,0.0333808474242687,0.565468788146973,0.0333876758813858,0.0334396958351135,0.0334418341517448,0.0334309600293636,0.0334549434483051,0.0334414578974247,0.0334479808807373,170,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"17","KIRC","KIRC",0.0361857302486897,0.0361666344106197,0.0361692197620869,0.0361670218408108,0.0361208133399487,0.0361182577908039,0.529834866523743,0.0361256487667561,0.0361819304525852,0.0361842438578606,0.036172479391098,0.0361984297633171,0.036183837801218,0.0361908972263336,175,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"18","OV","OV",0.0368790961802006,0.0368596352636814,0.0368622727692127,0.0368600338697433,0.0374187640845776,0.0368103347718716,0.0368982180953026,0.0368178635835648,0.0368752293288708,0.502905070781708,0.036865595728159,0.0541863590478897,0.0368771702051163,0.0368843637406826,181,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"19","OV","OV",0.0364953316748142,0.0364760719239712,0.0364786833524704,0.0364764668047428,0.0364298634231091,0.0364272817969322,0.0365142524242401,0.0364347361028194,0.0364915058016777,0.497671812772751,0.0364819727838039,0.0646279975771904,0.0364934243261814,0.0365005433559418,192,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"20","GBM","GBM",0.0342241004109383,0.0342060402035713,0.0342084839940071,0.0342064052820206,0.0341627039015293,0.555063307285309,0.0344195067882538,0.0341672748327255,0.0342205092310905,0.0342226959764957,0.0342115685343742,0.0342361144721508,0.034222312271595,0.0342289879918098,197,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
