"OGU","domain","phylum","class","order","family","genus","species","UNITN","UHGG","PATH","WIS","cov_All"
"G000271745","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum",FALSE,FALSE,FALSE,TRUE,0.007746540712065
"G000281105","Eukaryota","Ascomycota","Dothideomycetes","","","Coniosporium","Coniosporium_apollinis",FALSE,FALSE,FALSE,TRUE,0.00185212715377717
"G000300575","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus_bisporus",FALSE,FALSE,FALSE,TRUE,0.0468650759460156
"G000315875","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida_orthopsilosis",FALSE,FALSE,FALSE,TRUE,0.00354428331959271
"G000349305","Eukaryota","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_sympodialis",FALSE,FALSE,FALSE,TRUE,0.0313103859499367
"G000365145","Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_europaea",FALSE,FALSE,FALSE,TRUE,0.00046943083170698
"G000400465","Eukaryota","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_ichthyophaga",FALSE,FALSE,FALSE,TRUE,0.00081348193047049
"G000403515","Eukaryota","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pseudozyma","Pseudozyma_hubeiensis",FALSE,FALSE,FALSE,TRUE,0.000972924136640296
"G000523435","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris_zeicola",FALSE,FALSE,FALSE,TRUE,0.00240992461641751
"G000721765","Eukaryota","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_namibiae",FALSE,FALSE,FALSE,TRUE,0.00218006465792258
"G000721785","Eukaryota","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans",FALSE,FALSE,FALSE,TRUE,0.0989554419614554
"G000769745","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_expansum",FALSE,FALSE,FALSE,TRUE,0.018710703619874
"G001329695","Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_graminis",FALSE,FALSE,FALSE,TRUE,0.00660463076491287
"G001477535","Eukaryota","Ascomycota","Pneumocystidomycetes","Pneumocystidales","Pneumocystidaceae","Pneumocystis","Pneumocystis_jirovecii",FALSE,FALSE,FALSE,TRUE,0.0018042016666627
"G001642055","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_alternata",FALSE,FALSE,FALSE,TRUE,0.124436711079529
"G001661255","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_anomalus",FALSE,FALSE,FALSE,TRUE,0.00670633923695148
"G001661395","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Hyphopichia","Hyphopichia_burtonii",FALSE,FALSE,FALSE,TRUE,0.00271694657128599
"G001661405","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_jadinii",FALSE,FALSE,FALSE,TRUE,0.0733487123379838
