"","pred","obs","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SKCM","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"1","KIRC","KIRC",0.0162184629589319,0.0186485685408115,0.0189456921070814,0.0158372689038515,0.0150660080835223,0.016564629971981,0.0150624271482229,0.015010523609817,0.0150104658678174,0.0151497209444642,0.543383955955505,0.0160575117915869,0.0150895146653056,0.0155870178714395,0.0160610340535641,0.0152384927496314,0.0150779914110899,0.0150104453787208,0.0150967035442591,0.0151180205866694,0.0159672051668167,0.0150973163545132,0.0151097103953362,0.0150166414678097,0.0151237556710839,0.0191464684903622,0.0151168880984187,0.0152203338220716,0.015724241733551,0.0152430152520537,1,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"2","STAD","STAD",0.0181634724140167,0.0169499199837446,0.0130631122738123,0.0192886516451836,0.0136662870645523,0.0158140603452921,0.0170376729220152,0.0699971616268158,0.0117314113304019,0.0144622614607215,0.0124279018491507,0.0123923113569617,0.0165246911346912,0.0145661123096943,0.0341598764061928,0.0170202720910311,0.0160447359085083,0.0161153115332127,0.0146671310067177,0.0156420897692442,0.013083690777421,0.0174666661769152,0.0157520603388548,0.473035424947739,0.0159968435764313,0.0153845734894276,0.0175608713179827,0.0210156831890345,0.0161906667053699,0.0147790377959609,7,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"3","GBM","GBM",0.0172345228493214,0.0178294535726309,0.0124157089740038,0.0183021556586027,0.0129673406481743,0.0163887217640877,0.0161663014441729,0.0111314645037055,0.413900047540665,0.0137226050719619,0.0124791674315929,0.0150959100574255,0.0177111923694611,0.0138211445882916,0.0129513014107943,0.0198575500398874,0.0126005839556456,0.0153733314946294,0.0166161153465509,0.0148420967161655,0.0170303918421268,0.0165733527392149,0.0149464411661029,0.0125816436484456,0.0151787083595991,0.0140100177377462,0.0346494652330875,0.023464921861887,0.015362611040473,0.13479571044445,8,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"4","PCPG","THCA",0.0397733226418495,0.0362847782671452,0.0373453088104725,0.0397921428084373,0.0408650301396847,0.0348791405558586,0.0261058136820793,0.021450761705637,0.0214506797492504,0.0221799947321415,0.0228836853057146,0.0357687212526798,0.0337991900742054,0.0289165899157524,0.0356376841664314,0.0366052538156509,0.0450017899274826,0.0214506518095732,0.0371187068521976,0.0552405193448067,0.0367833897471428,0.0319374948740005,0.0279444362968206,0.0214595030993223,0.0327823683619499,0.0330238007009029,0.0428272783756256,0.0384268090128899,0.037094596773386,0.0251705143600702,25,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"5","SKCM","PRAD",0.0224294140934944,0.0245048850774765,0.0252211149781942,0.026873579248786,0.0179392602294683,0.0235555917024612,0.0245560854673386,0.014486750587821,0.0144866947084665,0.0178589206188917,0.0154544739052653,0.0241563692688942,0.0244612712413073,0.0203291643410921,0.0240678712725639,0.0247213207185268,0.0203627366572618,0.0144866732880473,0.0225542243570089,0.0205249544233084,0.0303161088377237,0.0215689539909363,0.38154411315918,0.0144926533102989,0.0197539273649454,0.0231398809701204,0.0216852836310863,0.0259515047073364,0.0199932642281055,0.018522946164012,33,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"6","OV","OV",0.0199286099523306,0.0206165388226509,0.0159061346203089,0.021163135766983,0.0149943847209215,0.0189505945891142,0.0186934061348438,0.0223474241793156,0.0128714768216014,0.0158677119761705,0.0136356540024281,0.0183597132563591,0.020479790866375,0.0159816574305296,0.0149758392944932,0.0207008514553308,0.0180923603475094,0.426040142774582,0.0192135386168957,0.0171621982008219,0.0196925699710846,0.0191640872508287,0.0172828584909439,0.0671433806419373,0.0175514277070761,0.0168796554207802,0.0192674472928047,0.0230579990893602,0.0177640859037638,0.0162152741104364,39,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"7","LIHC","LIHC",0.0185373593121767,0.0202526859939098,0.0175567734986544,0.0168931595981121,0.015161756426096,0.0175432115793228,0.0139807276427746,0.0119729423895478,0.0119728967547417,0.0147599596530199,0.0127727426588535,0.018909091129899,0.0176596734672785,0.490707129240036,0.0175742171704769,0.0182944033294916,0.0159134697169065,0.0119728790596128,0.0232040677219629,0.0138699244707823,0.0500961989164352,0.0178262088447809,0.0160763096064329,0.0119778215885162,0.0154600534588099,0.0178509317338467,0.0179223548620939,0.0214482806622982,0.0165239442139864,0.0153087601065636,53,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"8","DLBC","LUAD",0.0239759720861912,0.0359023287892342,0.0369516834616661,0.0265004001557827,0.0226151924580336,0.0345115065574646,0.0812683328986168,0.021224670112133,0.0212245844304562,0.0507229864597321,0.0228530000895262,0.0353917144238949,0.0347619764506817,0.0282908547669649,0.0440545678138733,0.0362194254994392,0.0298336278647184,0.0212245583534241,0.0330443903803825,0.0304758287966251,0.036395687609911,0.0238951109349728,0.0437430702149868,0.0212333165109158,0.0289416518062353,0.0472661070525646,0.0304731894284487,0.0285571683198214,0.0292923115193844,0.0391547754406929,65,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"9","KIRC","KIRC",0.0200257804244757,0.0183826256543398,0.0206332206726074,0.0169508866965771,0.0148511556908488,0.0163284055888653,0.014847625978291,0.014796462841332,0.015274915844202,0.0149336755275726,0.535634875297546,0.0158285200595856,0.0148743269965053,0.0172667969018221,0.0149553064256907,0.0150211807340384,0.0148629685863853,0.0147963855415583,0.0148814134299755,0.0149024268612266,0.0157395023852587,0.0148820178583264,0.0154310548678041,0.019018717110157,0.0151892751455307,0.017615532502532,0.0169588532298803,0.0150032807141542,0.0151676936075091,0.0149450907483697,86,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"10","STAD","STAD",0.0129989376291633,0.0115329716354609,0.0115423584356904,0.0115303713828325,0.0114805782213807,0.0134701570495963,0.0115415379405022,0.0134880440309644,0.0118522681295872,0.0116868382319808,0.0122640440240502,0.0115341795608401,0.0115355048328638,0.011630967259407,0.0115440869703889,0.0174848735332489,0.0123841753229499,0.238897249102592,0.0115365255624056,0.0125304879620671,0.0154195670038462,0.013996347784996,0.0127605088055134,0.407362997531891,0.0117191523313522,0.0121956458315253,0.0122554628178477,0.0116451065987349,0.0184636153280735,0.0117154475301504,96,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"11","ESCA","ESCA",0.018391402438283,0.0170346349477768,0.0170484986156225,0.0175852980464697,0.0171399991959333,0.0170398466289043,0.0169633645564318,0.418915838003159,0.0169630944728851,0.0171592403203249,0.0285315476357937,0.0170364174991846,0.0170383770018816,0.0171793811023235,0.0170510523021221,0.017036747187376,0.0170394033193588,0.0175329633057117,0.0170398820191622,0.0172612145543098,0.0170427672564983,0.0171551462262869,0.0176906771957874,0.0800456553697586,0.0170911215245724,0.0177403222769499,0.0171781722456217,0.0176189467310905,0.0177336186170578,0.0237153898924589,110,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"12","ESCA","ESCA",0.0161041636019945,0.0158381219953299,0.0150093203410506,0.0154819125309587,0.0149893900379539,0.0150017030537128,0.0149650191888213,0.478489726781845,0.0149341309443116,0.0151127856224775,0.016742292791605,0.0157453119754791,0.015012776479125,0.0163898430764675,0.0350327640771866,0.0149989742785692,0.0150013128295541,0.0157656706869602,0.015001735650003,0.0151040069758892,0.0150042753666639,0.0154554797336459,0.0296284202486277,0.0553761571645737,0.0150468433275819,0.0156183941289783,0.0159609392285347,0.015511536039412,0.0164231080561876,0.0152538847178221,124,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"13","ESCA","STAD",0.0214007534086704,0.0221395008265972,0.0153913572430611,0.0227264743298292,0.0161020345985889,0.0203504916280508,0.0200743041932583,0.418726235628128,0.0138223050162196,0.0170398745685816,0.0146429315209389,0.0197159629315138,0.021992651745677,0.0171622354537249,0.0160821191966534,0.0222300421446562,0.0194288603961468,0.0142367584630847,0.0206328555941582,0.0184299908578396,0.0211472790688276,0.020579757168889,0.0185595583170652,0.0484695769846439,0.0188479721546173,0.0181265715509653,0.0206907521933317,0.0247613154351711,0.0190763305872679,0.0174131114035845,138,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"14","OV","OV",0.0169773492962122,0.0157790966331959,0.0189614668488503,0.0157755389809608,0.0157074127346277,0.0157839246094227,0.0157672204077244,0.0157203078269958,0.0157128293067217,0.0184622798115015,0.0167793296277523,0.0157807487994432,0.0157825630158186,0.0172342099249363,0.0157943032681942,0.0157810524106026,0.0157835129648447,0.520087659358978,0.0157839581370354,0.0171327125281096,0.0157866310328245,0.0158037412911654,0.0158167164772749,0.0223956536501646,0.016033822670579,0.0157821476459503,0.016715144738555,0.0159325171262026,0.0172794442623854,0.0178666897118092,141,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"15","STAD","STAD",0.0161940045654774,0.0185198932886124,0.0149819450452924,0.0149663863703609,0.0150721361860633,0.0149743417277932,0.0149474181234837,0.0149682806804776,0.0154969617724419,0.0150392455980182,0.0151438741013408,0.0149857811629772,0.0149853955954313,0.0150969624519348,0.0150131713598967,0.014971618540585,0.0149739533662796,0.0154076851904392,0.0149743743240833,0.0151057364419103,0.0149769084528089,0.0151126608252525,0.0150054525583982,0.550989806652069,0.0154740121215582,0.0149726569652557,0.0155159123241901,0.0214270297437906,0.0157069303095341,0.0149994436651468,172,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"16","ESCA","STAD",0.0276889763772488,0.0288109239190817,0.0222042538225651,0.0305826161056757,0.0199757385998964,0.0200308952480555,0.0200118348002434,0.187753036618233,0.0199406705796719,0.0277833789587021,0.0211245436221361,0.0210640467703342,0.0216926075518131,0.0218841210007668,0.0240886770188808,0.0200272500514984,0.0259136166423559,0.048920001834631,0.0249307118356228,0.0204727202653885,0.0211030337959528,0.0272918045520782,0.0397464744746685,0.109062843024731,0.0200911685824394,0.0261501967906952,0.0240514110773802,0.0266820043325424,0.0219288133084774,0.0289915949106216,178,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"17","OV","OV",0.0446310974657536,0.0229958482086658,0.0230145622044802,0.0229906607419252,0.0229840036481619,0.0247612036764622,0.0230096578598022,0.0282193776220083,0.0236324984580278,0.0231117121875286,0.0232633110135794,0.0229982547461987,0.0230008978396654,0.0231912471354008,0.0230180080980062,0.0314307995140553,0.0237306579947472,0.20325331389904,0.0230029318481684,0.0249848160892725,0.0266091078519821,0.0279076248407364,0.0262803342193365,0.0974267423152924,0.0235072858631611,0.0230002943426371,0.0231768637895584,0.0232194345444441,0.0243294537067413,0.0233180057257414,220,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
