"","pred","obs","BLCA","BRCA","CESC","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OV","PRAD","READ","SARC","SKCM","STAD","THCA","UCEC","UVM","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"1","LUAD","LUAD",0.0372483693063259,0.0296846926212311,0.0305463615804911,0.0293529853224754,0.0291407536715269,0.0291570872068405,0.110556401312351,0.0305544137954712,0.0291679780930281,0.0292856972664595,0.0291577856987715,0.0379811376333237,0.0299124736338854,0.1398024559021,0.0508808307349682,0.0458200760185719,0.03167824447155,0.0292781032621861,0.0291791260242462,0.0367225296795368,0.0328231789171696,0.0636136010289192,0.0292989760637283,0.0291567463427782,8,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"2","LGG","LGG",0.0264167413115501,0.0234826058149338,0.0241642445325851,0.0232202038168907,0.0230523124337196,0.023065235465765,0.0578520111739635,0.0241706166416407,0.0230738501995802,0.0231669750064611,0.0230657868087292,0.279995411634445,0.0230574179440737,0.0272390265017748,0.119681492447853,0.0318279229104519,0.0437643565237522,0.0231609661132097,0.0230826698243618,0.0253391824662685,0.0269864648580551,0.0348920896649361,0.0231774784624577,0.0230649672448635,12,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"3","KIRC","KIRC",0.0199211835861206,0.0190609134733677,0.0207304116338491,0.0253509450703859,0.0184661578387022,0.018827922642231,0.018672127276659,0.0198752526193857,0.0214325338602066,0.532469689846039,0.0190650802105665,0.0188843999058008,0.0257623922079802,0.0197675749659538,0.022570775821805,0.0191086027771235,0.0187463611364365,0.0185531936585903,0.0184904746711254,0.0184935964643955,0.0197362825274467,0.0281719416379929,0.0190807469189167,0.0187614597380161,18,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"4","COAD","COAD",0.0245466195046902,0.0175896529108286,0.0174039863049984,0.319320976734161,0.0160246174782515,0.0164295975118876,0.0205034855753183,0.0225630048662424,0.0276789404451847,0.101901337504387,0.0167682021856308,0.0199522040784359,0.0177336428314447,0.0174397453665733,0.0171312466263771,0.0162718575447798,0.0162677727639675,0.182991519570351,0.0160457193851471,0.0252162851393223,0.0183579474687576,0.0197166036814451,0.0161116253584623,0.0160334147512913,19,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"5","COAD","READ",0.0328992903232574,0.027748379856348,0.0282806120812893,0.190420925617218,0.0271639246493578,0.0271791517734528,0.0298323091119528,0.0334533117711544,0.0380313508212566,0.0274874307215214,0.0338019914925098,0.0280648283660412,0.0354187525808811,0.0294087175279856,0.0328348614275455,0.0275830291211605,0.0336677357554436,0.125718057155609,0.0408905781805515,0.0299094468355179,0.0312349386513233,0.0344801098108292,0.0273114144802094,0.0271788332611322,39,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"6","LUSC","PRAD",0.0440396033227444,0.0310782659798861,0.0319803841412067,0.0307309869676828,0.0306808520108461,0.030525891110301,0.0809523612260818,0.0319888181984425,0.0305372942239046,0.0319850035011768,0.0305266231298447,0.0530789345502853,0.0313167423009872,0.0333160944283009,0.122871607542038,0.0353089645504951,0.0822641626000404,0.0306525900959969,0.0305489636957645,0.0305685773491859,0.0347574502229691,0.0490898005664349,0.0306744426488876,0.0305255334824324,43,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"7","LUSC","LGG",0.0431726910173893,0.0323935858905315,0.0333338864147663,0.0320316068828106,0.0318000055849552,0.0318178310990334,0.0344636701047421,0.0427232421934605,0.0318297185003757,0.0320979468524456,0.0318185947835445,0.0895238742232323,0.0331733487546444,0.0343292951583862,0.128283903002739,0.0408938936889172,0.0323925167322159,0.0319498926401138,0.0318418815732002,0.0318472534418106,0.0665541663765907,0.0379370450973511,0.0319726690649986,0.0318174622952938,48,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"8","LUSC","LUSC",0.028126185759902,0.0221170727163553,0.0227590743452311,0.0219889301806688,0.021711802110076,0.0217239763587713,0.0433652400970459,0.023368563503027,0.0217320881783962,0.0218197982758284,0.0217244941741228,0.0250202007591724,0.0217166114598513,0.0234387032687664,0.434723854064941,0.0220467895269394,0.022041255608201,0.0218141376972198,0.0223463904112577,0.0217440649867058,0.0239056441932917,0.0472117140889168,0.0218296907842159,0.0217237211763859,60,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"9","LUAD","LUAD",0.0234595350921154,0.0215923599898815,0.0373653471469879,0.0234131291508675,0.0203455742448568,0.0202198196202517,0.026680588722229,0.0229746401309967,0.0202273707836866,0.0528898574411869,0.0206982772797346,0.0219895392656326,0.0223237965255976,0.422636657953262,0.0507542341947556,0.0212927684187889,0.0205151308327913,0.023492619395256,0.0207991395145655,0.0202385187149048,0.0215984545648098,0.0239548273384571,0.0203182157129049,0.0202195849269629,72,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"10","LGG","STAD",0.0352346748113632,0.0305634737014771,0.0312605239450932,0.0300392489880323,0.0298220552504063,0.0298387706279755,0.0300121922045946,0.0312687642872334,0.0298499166965485,0.0299703869968653,0.0298394858837128,0.158107653260231,0.0298286564648151,0.0325661711394787,0.0298522636294365,0.0302821695804596,0.103137582540512,0.0299626179039478,0.0298613235354424,0.0327805019915104,0.0808623805642128,0.0443412512540817,0.0308795310556889,0.0298384223133326,84,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
