"","pred","obs","ESCA","OV","STAD","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"128","OV","OV",0.146665751934052,0.671465873718262,0.181868359446526,1265,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"129","OV","OV",0.165746480226517,0.654541850090027,0.179711669683456,1274,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"130","OV","OV",0.234585478901863,0.392229706048965,0.373184829950333,1276,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"131","OV","OV",0.148712635040283,0.659946203231812,0.191341131925583,1308,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"132","OV","STAD",0.24998839199543,0.420449793338776,0.329561829566956,1324,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"133","OV","OV",0.143543899059296,0.678458869457245,0.177997201681137,1331,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"134","OV","STAD",0.228252649307251,0.390022337436676,0.381724983453751,1338,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"135","OV","OV",0.16581591963768,0.610755324363708,0.223428770899773,1340,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"136","OV","OV",0.1622114777565,0.632840692996979,0.204947829246521,1341,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"137","OV","OV",0.146807581186295,0.65398108959198,0.199211344122887,1346,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"138","ESCA","STAD",0.49077719449997,0.143803775310516,0.365419089794159,1347,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"139","OV","OV",0.169439688324928,0.632057011127472,0.198503330349922,1368,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"140","STAD","STAD",0.135345652699471,0.14618706703186,0.71846729516983,1375,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"141","STAD","STAD",0.254422843456268,0.227112889289856,0.518464267253876,1388,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"142","OV","OV",0.163918048143387,0.527432680130005,0.308649271726608,1399,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"143","STAD","STAD",0.150917455554008,0.34574219584465,0.503340363502502,1409,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"144","ESCA","ESCA",0.658583641052246,0.143358930945396,0.198057383298874,1416,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"145","STAD","STAD",0.146671131253242,0.158419713377953,0.69490909576416,1421,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"146","ESCA","ESCA",0.674102485179901,0.146829709410667,0.179067835211754,1426,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"147","OV","OV",0.16873487830162,0.614367485046387,0.216897636651993,1434,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"148","OV","OV",0.143543899059296,0.678458869457245,0.177997201681137,1449,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"149","STAD","STAD",0.225409582257271,0.384669065475464,0.389921396970749,1456,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"150","STAD","STAD",0.245540469884872,0.160777136683464,0.593682408332825,1460,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"151","STAD","STAD",0.172853946685791,0.193461313843727,0.633684694766998,1462,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"152","OV","OV",0.161563545465469,0.590292870998383,0.248143643140793,1482,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"153","OV","OV",0.143543899059296,0.678458869457245,0.177997201681137,1489,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"154","STAD","STAD",0.247407108545303,0.174931228160858,0.577661633491516,1496,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"155","STAD","STAD",0.139152213931084,0.148697018623352,0.712150752544403,1530,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"156","OV","OV",0.14117243885994,0.628878355026245,0.229949250817299,1532,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"157","STAD","STAD",0.229723080992699,0.151518106460571,0.618758797645569,1535,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"158","STAD","STAD",0.223779693245888,0.198525533080101,0.577694773674011,1551,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"159","OV","OV",0.187789380550385,0.582762002944946,0.229448586702347,1559,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"160","ESCA","ESCA",0.673750042915344,0.147275745868683,0.178974211215973,1569,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"161","OV","OV",0.143543899059296,0.678458869457245,0.177997201681137,1607,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"162","OV","OV",0.135440483689308,0.601048052310944,0.263511508703232,1619,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"163","OV","OV",0.142927303910255,0.674860119819641,0.182212546467781,1632,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"164","OV","OV",0.140655443072319,0.624190628528595,0.235153943300247,1635,10,4,0.1,0,0.7,1,0.8,"Fold01.Rep1"
"165","OV","OV",0.154106393456459,0.653486132621765,0.192407503724098,9,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"166","OV","OV",0.155281886458397,0.658470809459686,0.186247304081917,16,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"167","ESCA","ESCA",0.668990433216095,0.151301220059395,0.179708376526833,36,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"168","ESCA","ESCA",0.577551245689392,0.171495839953423,0.250952959060669,43,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"169","OV","OV",0.166320458054543,0.634741365909576,0.198938176035881,50,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"170","OV","OV",0.171148091554642,0.486535847187042,0.342316091060638,51,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"171","ESCA","ESCA",0.514611661434174,0.24216029047966,0.243228033185005,54,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
"172","OV","OV",0.149681463837624,0.670788466930389,0.179530084133148,84,10,4,0.1,0,0.7,1,0.8,"Fold02.Rep1"
