domain,phylum,class-order,family,species,reference
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella oralis,"(Finegold et al., 1974; Shah & Collins, 1990)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella pallens,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella ruminicola,"(Holdeman et al., 1976; Avgustin et al., 1997)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella shahii,"(Wang et al., 2005)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella stercorea,"(Hayashi et al., 2007)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella timonensis,"(Walker et al., 2011)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella veroralis,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Paraprevotella clara,"(Morotomi et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Paraprevotella xylaniphila,"(Morotomi et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes finegoldii,"(Rautio et al., 2003)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes indistinctus,"(Nagai et al., 2009)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes marseilloanorexicus,"(Pfleiderer et al., 2013)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes obesi,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes onderdonkii,"(Song et al., 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes putredinis,"(Rautio et al., 2003)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes senegalensis,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes shahii,"(Song et al., 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes timonensis,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Cytophagia-Cytophagales,Cytophagaceae,Dyadobacter beijingensis,"(McLaughlin et al., 2010)"
Bacteria,Bacteroidetes,Cytophagia-Cytophagales,Cytophagaceae,Dyadobacter fermentans,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Cytophagia-Cytophagales,Cytophagaceae,Hymenobacter rigui,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Cytophagia-Cytophagales,Cytophagaceae,Rudanella lutea,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Cytophagia-Cytophagales,Cytophagaceae,Spirosoma linguale,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Capnocytophaga granulosa,"(Bik et al., 2006)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Capnocytophaga ochracea,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Capnocytophaga sputigena,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Chryseobacterium hominis,"(McLaughlin et al., 2010)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Cloacibacterium normanense,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Flavobacterium banpakuense,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Flavobacterium cheniae,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Flavobacterium lindanitolerans,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Flavobacterium oncorhynchi,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Flavobacterium sakaeratica,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Flavobacteriales,Flavobacteriaceae,Wautersiella falsenii,"(Frank et al., 2007)"
Bacteria,Bacteroidetes,Sphingobacteriales,Chitinophagaceae,Bifissio spartinae,"(McLaughlin et al., 2010)"
Bacteria,Bacteroidetes,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium multivorum,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Sphingobacteriales,Sphingobacteriaceae,Pedobacter daejeonensis,"(McLaughlin et al., 2010)"
Bacteria,Deinococcus-Thermus,Deinococcales,Deinococcaceae,Deinococcus aquaticus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Clostridia-Halanaerobiales,Halobacteroidaceae,Halanaerobaculum tunisiense ,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Alicyclobacillaceae,Tumebacillus permanentifrigoris,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Aeribacillus pallidus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus altitudinis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus amyloliquefaciens,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus arsenicus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus atrophaeus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus badius,"(Batchelor, 1919)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus beijingensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus benzoevorans,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus cereus,"(Batchelor, 1919)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus circulans,"(Taylor et al., 1985)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus clausii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus endophyticus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus firmus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus flexus,"(Batchelor, 1919)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus fordii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus halodurans,"(Boyer et al., 1973)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus idriensis,"(McLaughlin et al., 2010)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus infantis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus licheniformis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus marisflavi,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus marseilloanorexicus,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus massiliosenegalensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus megaterium,"(Taylor et al., 1985)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus mojavensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus mycoides,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus nealsonii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus niacini,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus polyfermenticus,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus pseudofirmus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus pumilus,"(Batchelor, 1919)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus schlegelii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus senegalensis,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus simplex,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus siralis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus sonorensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus subtilis,"(Batchelor, 1919)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus thermoamylovorans,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus thuringiensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus timonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Bacillus vallismortis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Geobacillus stearothermophilus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Geobacillus vulcani,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Oceanobacillus caeni,"(Hoyles et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Oceanobacillus massiliensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillaceae,Virgibacillus proomii,"(Hoyles et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillales Incertae Sedis XI,Exiguobacterium aurantiacum,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillales Incertae Sedis XI,Gemella haemolysans,"(McLaughlin et al., 2010)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillales Incertae Sedis XI,Gemella morbillorum,"(Holdeman & Moore, 1974)"
Bacteria,Firmicutes,Bacilli-Bacillales,Bacillales Incertae Sedis XI,Gemella sanguinis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Listeriaceae,Brochothrix thermosphacta,"(Walker et al., 2011)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Aneurinibacillus aneurinilyticus,"(Shida et al., 1994; Shida et al., 1996)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Aneurinibacillus migulanus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Brevibacillus agri,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Brevibacillus borstelensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Brevibacillus brevis,"(Taylor et al., 1985; Shida et al., 1996)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Brevibacillus massiliensis,"(Dubourg et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus alvei,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus antibioticophila,"(Dubourg et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus barcinonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus barengoltzii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus daejeonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus durus,"(Benno et al., 1986; Collins et al., 1994)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus glucanolyticus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus graminis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus illinoisensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus lactis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus lautus,"(Batchelor, 1919; Heyndrickx et al., 1996)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus provencensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus pueri,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus rhizosphaerae,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus senegalensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus thiaminolyticus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Paenibacillaceae,Paenibacillus timonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Kurthia gibsonii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Kurthia massiliensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Kurthia senegalensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Kurthia timonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Lysinibacillus fusiformis,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Lysinibacillus massiliensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Lysinibacillus sphaericus,"(Taylor et al., 1985; Ahmed et al., 2007)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Planococcus rifietoensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Planomicrobium chinense,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Sporosarcina koreensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Ureibacillus suwonensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Planococcaceae,Ureibacillus thermosphaericus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus arlettae,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus aureus,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus auricularis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus capitis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus caprae,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus cohnii,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus condimenti,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus epidermidis,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus equorum,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus haemolyticus,"(Macfarlane et al., 2004)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus hominis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus intermedius,"(Dubourg et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus kloosii,"(Macfarlane et al., 2004)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus lugdunensis,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus pasteuri,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus pettenkoferi,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus saccharolyticus,"(Benno et al., 1984)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus saprophyticus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus schleiferi,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus sciuri,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus simulans,"(Macfarlane et al., 2004)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus succinus,"(Sathyabama et al., 2012)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus vitulinus,"(Dubourg et al., 2013)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus warneri,"(Macfarlane et al., 2004)"
Bacteria,Firmicutes,Bacilli-Bacillales,Staphylococcaceae,Staphylococcus xylosus,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Abiotrophia defectiva,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Abiotrophia para-adiacens,"(Bik et al., 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Aerococcus viridans,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Aerococcaceae,Facklamia tabacinasalis,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Carnobacteriaceae,Granulicatella adiacens,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Carnobacteriaceae,Granulicatella elegans,"(Walker et al., 2011)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus asini,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus avium,"(Littel & Hartman, 1983)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus caccae,"(Carvalho et al., 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus casseliflavus,"(Gelsomino et al., 2003)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus cecorum,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus dispar,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus durans,"(Alston, 1928)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus faecalis,"(Andrewes & Horder, 1906)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus faecium,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus gallinarum,"(Collins et al., 1984)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus hirae,"(Robredo et al., 2000)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus phoeniculicola,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus pseudoavium,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Enterococcus saccharolyticus,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Enterococcaceae,Tetragenococcus solitarius,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus acidophilus,"(Moro, 1900)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus alimentarius,"(Macfarlane et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus amylovorus,"(Mitsuoka, 1969)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus animalis,"(Macfarlane et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus antri,"(Mitsuoka, 1969)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus brevis,"(Benno et al., 1989)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus buchneri,"(Mitsuoka et al., 1975)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus casei,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus coleohominis,"(Li et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus coryniformis,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus crispatus,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus curvatus,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus delbrueckii,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus fermentum,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus gasseri,"(Benno et al., 1989)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus gastricus,"(Roos et al., 2005)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus helveticus,"(Finegold et al., 1977)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus iners,"(McLaughlin et al., 2010)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus jensenii,"(Carlsson & Gothefors, 1975)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus johnsonii,"(Reuter, 2001)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus kalixensis,"(Roos et al., 2005)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus leichmanii,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus mucosae,"(Decroos et al., 2005)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus oris,"(Reuter, 2001)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus parabuchneri,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus paracasei,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus pentosus,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus plantarum,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus reuteri,"(Benno et al., 1989)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus rhamnosus,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus ruminis,"(Lerche & Reuter, 1961)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus sakei,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus salivarius,"(Moore & Holdeman, 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus saniviri,"(Oki et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus senioris,"(Oki et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus sharpeae,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus ultunensis,"(Roos et al., 2005)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Lactobacillus vaginalis,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Pediococcus acidilactici,"(Barros et al., 2001)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Pediococcus damnosus,"(Pfleiderer et al., 2013)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Lactobacillaceae,Pediococcus pentosaceus,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Leuconostoc argentinium/lactis,"(Heilig et al., 2002)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Leuconostoc gelidum,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Leuconostoc mesenteroides,"(Dal Bello & Hertel, 2006)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Weissella cibaria,"(Bjorkroth et al., 2002)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Weissella confusa,"(Bjorkroth et al., 2002)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Leuconostocaceae,Weissella paramesenteroides,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus garvieae,"(Lagier et al., 2012)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus lactis,"(Finegold et al., 1974)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus plantarum,"(Woodmansey et al., 2004)"
Bacteria,Firmicutes,Bacilli-Lactobacillales,Streptococcaceae,Lactococcus raffinolactis,"(Dubourg et al., 2013)"
