domain,phylum,class-order,family,species,reference
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium coyleae,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium durum,"(Eckburg et al., 2005)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium freneyi,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium glaucum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium glucuronolyticum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium kroppenstedtii,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium minutissimum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium mucifaciens,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium propinquum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium pseudodiphthericum,"(Drasar & Hill, 1974)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium sanguinis,"(Manichanh et al., 2008)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium simulans,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium striatum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium sundsvallense,"(Eckburg et al., 2005)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium tuberculostearicum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium ulcerans,"(Drasar & Hill, 1974)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium ureicelerivorans,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium xerosis,"(Drasar & Hill, 1974)"
Bacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium paraconglomeratum,"(Manichanh et al., 2008)"
Bacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Dermabacter hominis,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus nishinomiyaensis,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Kytococcus schroeteri,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Kytococcus sedentarius,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia cinnamea,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia maris,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia natronolimnaea,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus massiliensis,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia rubripertincta,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia terrae,"(McLaughlin et al., 2010)"
Bacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter limosus,"(Hoyles et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter terrae,"(McLaughlin et al., 2010)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus jejuensis,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus terreus,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium flaccumfaciens,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium aurum,"(Pfleiderer et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium chocolatum,"(McLaughlin et al., 2010)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium foliorum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium gubbeenense,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium hydrocarbonoxydans,"(Dubourg et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium lacticum,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium luteolum,"(Hoyles et al., 2013)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium oleivorans,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium paraoxydans,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium phyllosphaerae,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium schleiferi,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pseudoclavibacter massiliense,"(Lagier et al., 2012)"
Bacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Yonghaparkia alkaliphila,"(McLaughlin et al., 2010)"
Bacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter albus,"(Lagier et al., 2012)"
