Feature ID	Taxon
G000006335	G000006335
G000006445	G000006445
G000143185	G000143185
G000146045	G000146045
G000149985	G000149985
G000181695	G000181695
G000182765	G000182765
G000182965	G000182965
G000243375	G000243375
G000264905	G000264905
G000271745	G000271745
G000281105	G000281105
G000300575	G000300575
G000315875	G000315875
G000349305	G000349305
G000365145	G000365145
G000400465	G000400465
G000403515	G000403515
G000523435	G000523435
G000721765	G000721765
G000721785	G000721785
G000769745	G000769745
G001329695	G001329695
G001477535	G001477535
G001642055	G001642055
G001661255	G001661255
G001661395	G001661395
G001661405	G001661405
G003144115	G003144115
G003290485	G003290485
G005498985	G005498985
G014466165	G014466165
G015533775	G015533775
G016861865	G016861865
G900074925	G900074925
G900519145	G900519145
G000003925	G000003925
G000005845	G000005845
G000006765	G000006765
G000006925	G000006925
G000006945	G000006945
G000007025	G000007025
G000007125	G000007125
G000007145	G000007145
G000007485	G000007485
G000007545	G000007545
G000007705	G000007705
G000007765	G000007765
G000007825	G000007825
G000007905	G000007905
G000008045	G000008045
G000008185	G000008185
G000008425	G000008425
G000008445	G000008445
G000008485	G000008485
G000008865	G000008865
G000009045	G000009045
G000009085	G000009085
G000009805	G000009805
G000010125	G000010125
G000010205	G000010205
G000010425	G000010425
G000010505	G000010505
G000011065	G000011065
G000011225	G000011225
G000011645	G000011645
G000011705	G000011705
G000012065	G000012065
G000012085	G000012085
G000012125	G000012125
G000012365	G000012365
G000012565	G000012565
G000012845	G000012845
G000012945	G000012945
G000013145	G000013145
G000013165	G000013165
G000013285	G000013285
G000013425	G000013425
G000013905	G000013905
G000014025	G000014025
G000014285	G000014285
G000014425	G000014425
G000014445	G000014445
G000014505	G000014505
G000014645	G000014645
G000014805	G000014805
G000015445	G000015445
G000016625	G000016625
G000017425	G000017425
G000017445	G000017445
G000017585	G000017585
G000018045	G000018045
G000018205	G000018205
G000018525	G000018525
G000019205	G000019205
G000019345	G000019345
G000019705	G000019705
G000020225	G000020225
G000020425	G000020425
G000021265	G000021265
G000021925	G000021925
G000022905	G000022905
G000022965	G000022965
G000023005	G000023005
G000023145	G000023145
G000023205	G000023205
G000023285	G000023285
G000023845	G000023845
G000023865	G000023865
G000023905	G000023905
G000023925	G000023925
G000024105	G000024105
G000024225	G000024225
G000024265	G000024265
G000024405	G000024405
G000024565	G000024565
G000024785	G000024785
G000024945	G000024945
G000025225	G000025225
G000025305	G000025305
G000025565	G000025565
G000025925	G000025925
G000025985	G000025985
G000026225	G000026225
G000026745	G000026745
G000027085	G000027085
G000027145	G000027145
G000046705	G000046705
G000046845	G000046845
G000054005	G000054005
G000056065	G000056065
G000060285	G000060285
G000063585	G000063585
G000067205	G000067205
G000069945	G000069945
G000069965	G000069965
G000070465	G000070465
G000085865	G000085865
G000091785	G000091785
G000092225	G000092225
G000092245	G000092245
G000092825	G000092825
G000092985	G000092985
G000143725	G000143725
G000143765	G000143765
G000143785	G000143785
G000143825	G000143825
G000143845	G000143845
G000144405	G000144405
G000144675	G000144675
G000146285	G000146285
G000146325	G000146325
G000146345	G000146345
G000146675	G000146675
G000147675	G000147675
G000148565	G000148565
G000148585	G000148585
G000148995	G000148995
G000152245	G000152245
G000152285	G000152285
G000153625	G000153625
G000153885	G000153885
G000153905	G000153905
G000154065	G000154065
G000154105	G000154105
G000154125	G000154125
G000154205	G000154205
G000154305	G000154305
G000154405	G000154405
G000154425	G000154425
G000154445	G000154445
G000154465	G000154465
G000154485	G000154485
G000154525	G000154525
G000154565	G000154565
G000154825	G000154825
G000154985	G000154985
G000155325	G000155325
G000155455	G000155455
G000155475	G000155475
G000155815	G000155815
G000155955	G000155955
G000156015	G000156015
G000156175	G000156175
G000156195	G000156195
G000156215	G000156215
G000156375	G000156375
G000156395	G000156395
G000156415	G000156415
G000156495	G000156495
G000156535	G000156535
G000156575	G000156575
G000156615	G000156615
G000156635	G000156635
G000156655	G000156655
G000156675	G000156675
G000156715	G000156715
G000157355	G000157355
G000157895	G000157895
G000157935	G000157935
G000157975	G000157975
G000157995	G000157995
G000158015	G000158015
G000158035	G000158035
G000158315	G000158315
G000158455	G000158455
G000158615	G000158615
G000158715	G000158715
G000158835	G000158835
G000159035	G000159035
G000159095	G000159095
G000159115	G000159115
G000159135	G000159135
G000159235	G000159235
G000159355	G000159355
G000159415	G000159415
G000159595	G000159595
G000159995	G000159995
G000160015	G000160015
G000160035	G000160035
G000160055	G000160055
G000160075	G000160075
G000160095	G000160095
G000160115	G000160115
G000160295	G000160295
G000160435	G000160435
G000160455	G000160455
G000160475	G000160475
G000160495	G000160495
G000160535	G000160535
G000160555	G000160555
G000160575	G000160575
G000160595	G000160595
G000160655	G000160655
G000160675	G000160675
G000160695	G000160695
G000160755	G000160755
G000160815	G000160815
G000160855	G000160855
G000160875	G000160875
G000161615	G000161615
G000162255	G000162255
G000162295	G000162295
G000162475	G000162475
G000162575	G000162575
G000162875	G000162875
G000163435	G000163435
G000163455	G000163455
G000163475	G000163475
G000163595	G000163595
G000163895	G000163895
G000164095	G000164095
G000164115	G000164115
G000164135	G000164135
G000164675	G000164675
G000164695	G000164695
G000165735	G000165735
G000166935	G000166935
G000167095	G000167095
G000167275	G000167275
G000167975	G000167975
G000167995	G000167995
G000168015	G000168015
G000168035	G000168035
G000169015	G000169015
G000169035	G000169035
G000169235	G000169235
G000169255	G000169255
G000169535	G000169535
G000172115	G000172115
G000172175	G000172175
G000172815	G000172815
G000173355	G000173355
G000173375	G000173375
G000173415	G000173415
G000173435	G000173435
G000173455	G000173455
G000173715	G000173715
G000173755	G000173755
G000173775	G000173775
G000173795	G000173795
G000173815	G000173815
G000173895	G000173895
G000173915	G000173915
G000173995	G000173995
G000174015	G000174015
G000174035	G000174035
G000174195	G000174195
G000174655	G000174655
G000174695	G000174695
G000174755	G000174755
G000174815	G000174815
G000175375	G000175375
G000175615	G000175615
G000176155	G000176155
G000176175	G000176175
G000176375	G000176375
G000176515	G000176515
G000176795	G000176795
G000177075	G000177075
G000177315	G000177315
G000177335	G000177335
G000177375	G000177375
G000177435	G000177435
G000177535	G000177535
G000178335	G000178335
G000178355	G000178355
G000178435	G000178435
G000178475	G000178475
G000178495	G000178495
G000179875	G000179875
G000179955	G000179955
G000181835	G000181835
G000183325	G000183325
G000183445	G000183445
G000184945	G000184945
G000185145	G000185145
G000185305	G000185305
G000185365	G000185365
G000185385	G000185385
G000185505	G000185505
G000185705	G000185705
G000185725	G000185725
G000185845	G000185845
G000186005	G000186005
G000186085	G000186085
G000186425	G000186425
G000186445	G000186445
G000186465	G000186465
G000187125	G000187125
G000187265	G000187265
G000187465	G000187465
G000187585	G000187585
G000187855	G000187855
G000187975	G000187975
G000188035	G000188035
G000188175	G000188175
G000188195	G000188195
G000188255	G000188255
G000188295	G000188295
G000189415	G000189415
G000190535	G000190535
G000190695	G000190695
G000191065	G000191065
G000191105	G000191105
G000191145	G000191145
G000191405	G000191405
G000191785	G000191785
G000192165	G000192165
G000193635	G000193635
G000194115	G000194115
G000194925	G000194925
G000194945	G000194945
G000194985	G000194985
G000195275	G000195275
G000195615	G000195615
G000195635	G000195635
G000195955	G000195955
G000196015	G000196015
G000196035	G000196035
G000196075	G000196075
G000196095	G000196095
G000196135	G000196135
G000196475	G000196475
G000196535	G000196535
G000196555	G000196555
G000196575	G000196575
G000203915	G000203915
G000204035	G000204035
G000205025	G000205025
G000205165	G000205165
G000208405	G000208405
G000209735	G000209735
G000210055	G000210055
G000210075	G000210075
G000210095	G000210095
G000210575	G000210575
G000210695	G000210695
G000211415	G000211415
G000212375	G000212375
G000213535	G000213535
G000213555	G000213555
