Feature ID	Taxon
Candidatus_Xiphinematobacter	Candidatus_Xiphinematobacter
Methylacidiphilum	Methylacidiphilum
Luteolibacter	Luteolibacter
Roseimicrobium	Roseimicrobium
Verrucomicrobium	Verrucomicrobium
Akkermansia	Akkermansia
Coraliomargarita	Coraliomargarita
Ereboglobus	Ereboglobus
Opitutus	Opitutus
Nibricoccus	Nibricoccus
Lacunisphaera	Lacunisphaera
Sneathia	Sneathia
Sebaldella	Sebaldella
Pseudoleptotrichia	Pseudoleptotrichia
Streptobacillus	Streptobacillus
Leptotrichia	Leptotrichia
Ilyobacter	Ilyobacter
Fusobacterium	Fusobacterium
Saprospira	Saprospira
Haliscomenobacter	Haliscomenobacter
Salinibacter	Salinibacter
Rhodothermus	Rhodothermus
Niabella	Niabella
Paraflavitalea	Paraflavitalea
Pseudobacter	Pseudobacter
Flavihumibacter	Flavihumibacter
Lacibacter	Lacibacter
Arachidicoccus	Arachidicoccus
Panacibacter	Panacibacter
Filimonas	Filimonas
Flavisolibacter	Flavisolibacter
Chitinophaga	Chitinophaga
Niastella	Niastella
Olivibacter	Olivibacter
Anseongella	Anseongella
Solitalea	Solitalea
Pedobacter	Pedobacter
Sphingobacterium	Sphingobacterium
Pseudopedobacter	Pseudopedobacter
Mucilaginibacter	Mucilaginibacter
Roseivirga	Roseivirga
Candidatus_Cardinium	Candidatus_Cardinium
Candidatus_Amoebophilus	Candidatus_Amoebophilus
Bernardetia	Bernardetia
Flammeovirga	Flammeovirga
Chryseolinea	Chryseolinea
Marivirga	Marivirga
Allopseudarcicella	Allopseudarcicella
Arcticibacterium	Arcticibacterium
Cytophaga	Cytophaga
Dyadobacter	Dyadobacter
Rhodocytophaga	Rhodocytophaga
Leadbetterella	Leadbetterella
Runella	Runella
Fibrella	Fibrella
Spirosoma	Spirosoma
Belliella	Belliella
Aquiflexum	Aquiflexum
Cyclobacterium	Cyclobacterium
Algoriphagus	Algoriphagus
Echinicola	Echinicola
Nibribacter	Nibribacter
Adhaeribacter	Adhaeribacter
Pontibacter	Pontibacter
Rufibacter	Rufibacter
Hymenobacter	Hymenobacter
Salinivirga	Salinivirga
Alkalitalea	Alkalitalea
Labilibaculum	Labilibaculum
Draconibacterium	Draconibacterium
Tenuifilum	Tenuifilum
Paludibacter	Paludibacter
Barnesiella	Barnesiella
Dysgonomonas	Dysgonomonas
Fermentimonas	Fermentimonas
Proteiniphilum	Proteiniphilum
Petrimonas	Petrimonas
Duncaniella	Duncaniella
Muribaculum	Muribaculum
Mucinivorans	Mucinivorans
Alistipes	Alistipes
Butyricimonas	Butyricimonas
Odoribacter	Odoribacter
Candidatus_Azobacteroides	Candidatus_Azobacteroides
Phocaeicola	Phocaeicola
Porphyromonas	Porphyromonas
Bacteroides	Bacteroides
Tannerella	Tannerella
Parabacteroides	Parabacteroides
Alloprevotella	Alloprevotella
Paraprevotella	Paraprevotella
Prevotella	Prevotella
Ichthyobacterium	Ichthyobacterium
Bergeyella	Bergeyella
Candidatus_Sulcia	Candidatus_Sulcia
Candidatus_Walczuchella	Candidatus_Walczuchella
Ornithobacterium	Ornithobacterium
Apibacter	Apibacter
Owenweeksia	Owenweeksia
Blattabacterium	Blattabacterium
Weeksella	Weeksella
Riemerella	Riemerella
Empedobacter	Empedobacter
Elizabethkingia	Elizabethkingia
Fluviicola	Fluviicola
Chryseobacterium	Chryseobacterium
Gillisia	Gillisia
Euzebyella	Euzebyella
Mesoflavibacter	Mesoflavibacter
Lutibacter	Lutibacter
Zobellia	Zobellia
Gilvibacter	Gilvibacter
Muriicola	Muriicola
Muricauda	Muricauda
Leeuwenhoekiella	Leeuwenhoekiella
Flagellimonas	Flagellimonas
Flavivirga	Flavivirga
Robiginitalea	Robiginitalea
Aureitalea	Aureitalea
Urechidicola	Urechidicola
Psychroflexus	Psychroflexus
Sediminicola	Sediminicola
Costertonia	Costertonia
Cellulophaga	Cellulophaga
Galbibacter	Galbibacter
Myroides	Myroides
Antarcticibacterium	Antarcticibacterium
Arenibacter	Arenibacter
Salegentibacter	Salegentibacter
Psychroserpens	Psychroserpens
Zunongwangia	Zunongwangia
Olleya	Olleya
Siansivirga	Siansivirga
Mariniflexile	Mariniflexile
Formosa	Formosa
Polaribacter	Polaribacter
Croceibacter	Croceibacter
Seonamhaeicola	Seonamhaeicola
Wenyingzhuangia	Wenyingzhuangia
Dokdonia	Dokdonia
Gramella	Gramella
Tamlana	Tamlana
Aequorivita	Aequorivita
Nonlabens	Nonlabens
Aquimarina	Aquimarina
Algibacter	Algibacter
Lacinutrix	Lacinutrix
Changchengzhania	Changchengzhania
Tenacibaculum	Tenacibaculum
Kordia	Kordia
Maribacter	Maribacter
Winogradskyella	Winogradskyella
Oceanihabitans	Oceanihabitans
Capnocytophaga	Capnocytophaga
Flavobacterium	Flavobacterium
Cloacibacterium	Cloacibacterium
Truepera	Truepera
Deinococcus	Deinococcus
Marinithermus	Marinithermus
Oceanithermus	Oceanithermus
Meiothermus	Meiothermus
Thermus	Thermus
Ndongobacter	Ndongobacter
Limnochorda	Limnochorda
Turicibacter	Turicibacter
Erysipelothrix	Erysipelothrix
Intestinibaculum	Intestinibaculum
Faecalibaculum	Faecalibaculum
Amedibacterium	Amedibacterium
Erysipelatoclostridium	Erysipelatoclostridium
Longibaculum	Longibaculum
Faecalitalea	Faecalitalea
Acidaminococcus	Acidaminococcus
Phascolarctobacterium	Phascolarctobacterium
Methylomusa	Methylomusa
Sporomusa	Sporomusa
Pelosinus	Pelosinus
Pectinatus	Pectinatus
Megamonas	Megamonas
Selenomonas	Selenomonas
Megasphaera	Megasphaera
Dialister	Dialister
Veillonella	Veillonella
Natranaerobius	Natranaerobius
Anoxybacter	Anoxybacter
Halothermothrix	Halothermothrix
Halanaerobium	Halanaerobium
Halocella	Halocella
Acetohalobium	Acetohalobium
Halobacteroides	Halobacteroides
Thermodesulfobium	Thermodesulfobium
Mahella	Mahella
Thermanaeromonas	Thermanaeromonas
Thermacetogenium	Thermacetogenium
Ammonifex	Ammonifex
Thermoanaerobacter	Thermoanaerobacter
Tepidanaerobacter	Tepidanaerobacter
Carboxydothermus	Carboxydothermus
Caldanaerobacter	Caldanaerobacter
Moorella	Moorella
Thermosediminibacter	Thermosediminibacter
Caldicellulosiruptor	Caldicellulosiruptor
Thermoanaerobacterium	Thermoanaerobacterium
Candidatus_Syntrophocurvum	Candidatus_Syntrophocurvum
Syntrophothermus	Syntrophothermus
Syntrophomonas	Syntrophomonas
Petrocella	Petrocella
Carboxydocella	Carboxydocella
Symbiobacterium	Symbiobacterium
Heliorestis	Heliorestis
Heliobacterium	Heliobacterium
Thermaerobacter	Thermaerobacter
