gIDs,start,stop,length
G000305995,2243616,2244782,1167
G000308495,1409100,1409474,375
G000308495,1411715,1413279,1565
G000308495,1414037,1414266,230
G000308495,1415341,1415627,287
G000308495,1416004,1416219,216
G000308495,1417835,1418268,434
G000308495,1419158,1419330,173
G000308495,1419577,1419761,185
G000308495,1420347,1420473,127
G000308495,1420877,1420991,115
G000309805,2048394,2048941,548
G000312765,979617,979999,383
G000312765,1795242,1795999,758
G000312785,828452,828707,256
G000312785,2728375,2728741,367
G000312825,122750,123424,675
G000312825,489179,489498,320
G000312825,1803040,1803244,205
G000312825,2405092,2405247,156
G000313465,521867,522750,884
G000313465,2245672,2246831,1160
G000313915,514273,514825,553
G000313915,515000,515464,465
G000316265,3896000,3896356,357
G000317245,5367336,5367459,124
G000333275,0,249,250
G000333275,1155501,1156272,772
G000333275,3095200,3095325,126
G000334735,1913480,1913999,520
G000363985,4422490,4422817,328
G000363985,4423597,4426885,3289
G000382245,3748099,3749524,1426
G000406725,1296568,1297306,739
G000409505,1817638,1817741,104
G000409695,1267524,1268999,1476
G000409695,4272079,4274251,2173
G000415525,1234468,1234789,322
G000415525,1251789,1251999,211
G000415525,1253894,1254221,328
G000415525,1267094,1267403,310
G000415525,1303218,1303451,234
G000415585,1193318,1193645,328
G000415585,1210831,1211149,319
G000415585,1228797,1228999,203
G000415605,1175180,1175291,112
G000415605,1220505,1220685,181
G000415605,1251367,1251577,211
G000415625,7587,7805,219
G000415625,8274,8488,215
G000415625,19887,20116,230
G000415625,1206052,1206259,208
G000415625,1213635,1213880,246
G000415685,1659,2577,919
G000415725,799680,799900,221
G000415725,819347,819614,268
G000415725,1209003,1209381,379
G000415725,1210250,1210572,323
G000415725,1210872,1210999,128
G000415725,1213059,1213384,326
G000415745,797164,797421,258
G000415745,1189236,1189549,314
G000415745,1211268,1211475,208
G000415765,1183873,1184146,274
G000415785,8233,8480,248
G000415805,1177663,1177926,264
G000415805,1187863,1187999,137
G000416385,22075,22283,209
G000416445,7508769,7508986,218
G000416445,7509199,7510977,1779
G000416445,7512000,7512817,818
G000416445,7513000,7513892,893
G000416445,7524064,7525334,1271
G000416445,7544050,7545235,1186
G000417585,1347,1586,240
G000417585,8875,9103,229
G000417605,1195152,1195403,252
G000417605,1206325,1206577,253
G000417605,1207074,1207302,229
G000417605,1208021,1208344,324
G000417625,5344000,5344509,510
G000417675,1229695,1229816,122
G000417675,1238503,1238711,209
G000417695,10000,10604,605
G000417695,11083,11416,334
G000417695,39000,39842,843
