fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese	Transcript_pese
G17213.TCGA-06-0157-01A-01R-1849-01.2.	117450	830168	39752	21708	19400
G17214.TCGA-06-0190-01A-01R-1849-01.2.	117445	1143324	61662	42364	39990
G17215.TCGA-06-0221-02A-11R-2005-01.2.	117446	224674	30826	13124	10318
G17216.TCGA-12-0618-01A-01R-1849-01.2.	117452	91326	35824	13684	10520
G17217.TCGA-06-0749-01A-01R-1849-01.2.	117445	208594	43610	24976	22940
G17218.TCGA-06-0130-01A-01R-1849-01.2.	117447	936028	53510	29698	26134
G17219.TCGA-06-0158-01A-01R-1849-01.2.	117451	827836	40018	17726	14430
G17220.TCGA-06-0190-02A-01R-2005-01.2.	117448	2635122	68358	43316	40820
G17221.TCGA-06-0152-02A-01R-2005-01.2.	117450	528196	49418	27152	23570
G17222.TCGA-12-0619-01A-01R-1849-01.2.	117451	515458	49676	26538	23396
G17223.TCGA-06-0750-01A-01R-1849-01.2.	117449	758046	51224	29684	26854
G17224.TCGA-06-0139-01A-01R-1849-01.2.	117436	11508242	964320	945058	943520
G17225.TCGA-06-0168-01A-01R-1849-01.2.	117430	6925248	298326	272806	270892
G17226.TCGA-06-0210-01A-01R-1849-01.2.	117450	576244	113990	93684	90964
G17227.TCGA-06-0238-01A-02R-1849-01.2.	117450	90140	38574	19970	17336
G17228.TCGA-06-0649-01B-01R-1849-01.2.	117446	1359630	131128	85128	81598
G17229.TCGA-15-0742-01A-01R-1850-01.2.	117444	946314	58920	40196	36978
G17230.TCGA-06-0141-01A-01R-1849-01.2.	117451	824692	47954	25432	22166
G17231.TCGA-06-0171-02A-11R-2005-01.2.	117450	207238	36006	14480	11720
G17232.TCGA-06-0210-02A-01R-2005-01.2.	117450	428500	58546	37414	34810
G17233.TCGA-06-0644-01A-02R-1849-01.2.	117448	222788	31240	13810	11968
G17234.TCGA-06-0686-01A-01R-1849-01.2.	117441	5801466	260604	234430	232154
G17466.TCGA-06-0878-01A-01R-1849-01.2.	117440	13748140	383828	303418	297088
G17467.TCGA-14-0736-02A-01R-2005-01.2.	117423	2149788	189208	156752	155110
G17468.TCGA-19-0957-02A-11R-2005-01.2.	117445	969290	62482	39678	36324
G17469.TCGA-06-2557-01A-01R-1849-01.2.	117451	1536610	94364	46114	41602
G17470.TCGA-06-2567-01A-01R-1849-01.2.	117450	1328938	57094	32246	28858
G17471.TCGA-27-2519-01A-01R-1850-01.2.	117443	390846	50240	29482	27084
G17472.TCGA-06-0882-01A-01R-1849-01.2.	117450	2038198	68528	44270	40560
G17473.TCGA-14-1034-01A-01R-1849-01.2.	117431	1304350	48302	32274	30188
G17474.TCGA-19-1389-02A-21R-2005-01.2.	117443	880256	62488	42696	40042
G17475.TCGA-06-2558-01A-01R-1849-01.2.	117447	3574132	102640	79184	75866
G17476.TCGA-06-2569-01A-01R-1849-01.2.	117448	1207020	99904	75418	71592
G17477.TCGA-27-2521-01A-01R-1850-01.2.	117450	1726642	86408	54508	51730
G17478.TCGA-12-0821-01A-01R-1849-01.2.	117452	7740274	142780	101436	96596
G17479.TCGA-14-1034-02B-01R-2005-01.2.	117442	9804442	220922	194680	191774
G17480.TCGA-27-1830-01A-01R-1850-01.2.	117446	1972338	76106	51356	47146
G17481.TCGA-06-2559-01A-01R-1849-01.2.	117444	1631544	71224	47940	44338
G17482.TCGA-06-2570-01A-01R-1849-01.2.	117449	2108488	124512	100370	96270
G17483.TCGA-27-2523-01A-01R-1850-01.2.	117449	302206	47516	27102	24598
G17484.TCGA-14-0787-01A-01R-1849-01.2.	117435	5390382	176540	157680	155188
G17485.TCGA-14-1402-02A-01R-2005-01.2.	117444	2939878	137604	116544	114008
G17486.TCGA-27-1832-01A-01R-1850-01.2.	117451	2040746	1559104	1398880	1392228
G17487.TCGA-06-2561-01A-02R-1849-01.2.	117445	1372738	71790	46832	42924
G17488.TCGA-14-0790-01B-01R-1849-01.2.	117441	9893030	162936	144222	141910
G17489.TCGA-27-2524-01A-01R-1850-01.2.	117445	1929730	96484	75340	73168
G17490.TCGA-14-0789-01A-01R-1849-01.2.	117444	5681400	179908	154526	151050
G17491.TCGA-16-1045-01B-01R-1850-01.2.	117440	3564830	134586	110908	107936
G17492.TCGA-27-1834-01A-01R-1850-01.2.	117443	2754676	137482	113514	109908
G17493.TCGA-06-2562-01A-01R-1849-01.2.	117448	1081940	54090	33112	29808
G17494.TCGA-14-2554-01A-01R-1850-01.2.	117449	884160	66508	39296	36146
G17495.TCGA-27-2526-01A-01R-1850-01.2.	117445	1047868	86208	61596	59526
G17496.TCGA-14-0817-01A-01R-1849-01.2.	117452	7619672	262576	226728	223198
G17497.TCGA-14-1823-01A-01R-1849-01.2.	117447	11013012	119536	90216	87328
G17498.TCGA-02-2483-01A-01R-1849-01.2.	117450	1537730	54488	31232	25270
G17499.TCGA-06-2563-01A-01R-1849-01.2.	117447	2064974	113346	91130	88126
G17500.TCGA-27-1831-01A-01R-1850-01.2.	117442	4828654	210510	183694	180648
G17501.TCGA-27-2528-01A-01R-1850-01.2.	117448	702390	60700	38854	36020
G17502.TCGA-14-0871-01A-01R-1849-01.2.	117427	14936852	471594	455196	453578
G17503.TCGA-14-1825-01A-01R-1850-01.2.	117426	12782412	275580	247072	244510
G17504.TCGA-02-2485-01A-01R-1849-01.2.	117446	909118	60148	35836	32092
