fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese
TCGA-75-5146-01A-01D-1623_110913_SN208_0238_BC008YACXX_s_5_rg.sorted.filtered	115207	1295744	430500	362342
TCGA-75-5147-01A-01D-1623_110913_SN208_0238_BC008YACXX_s_4_rg.sorted.filtered	115207	2068018	577940	491764
TCGA-A5-A0G9-10A-01D-A043_120318_SN590_0146_AC0KH7ACXX_s_4_rg.sorted.filtered	115207	2242420	1698160	1407088
TCGA-A5-A0GU-10A-01D-A043_120209_SN1120_0114_BC0DFVACXX_s_6_rg.sorted.filtered	115207	2013682	621420	457856
TCGA-A5-A0R6-01A-11D-A101_120403_SN1222_0093_AC0L7VACXX_s_2_rg.sorted.filtered	115207	1026972	542146	415816
TCGA-A6-2674-01A-02D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1388634	848266	754522
TCGA-A6-2674-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1358912	981278	887312
TCGA-A6-2674-10A-01D-1167_101023_SN208_0166_A808PFABXX_s_4_rg.sorted.filtered	115207	5651120	4100644	3523262
TCGA-A6-2676-01A-01D-1167-02_101203_SN177_0125_B802RYABXX_s_1.rg.sorted.filtered	115207	21587100	7406074	6584896
TCGA-A6-2676-10A-01D-1167-02_101203_SN177_0125_B802RYABXX_s_2.rg.sorted.filtered	115207	23905150	9481106	8451982
TCGA-A6-2679-01A-02D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1824682	1403072	1281436
TCGA-A6-2679-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1654742	1074226	979734
TCGA-A6-2681-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	6840722	5244022	4117628
TCGA-A6-2682-10A-01D-1405_110503_SN177_0159_AB02MCABXX_s_8_rg.sorted.filtered	115207	6594266	4999784	3943360
TCGA-A6-2683-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	16659390	11961180	10814272
TCGA-A6-2683-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	5397848	1912210	1544446
TCGA-A6-2684-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1947758	1385378	1259172
TCGA-A6-2684-10A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1658704	1273802	1162096
TCGA-A6-3807-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	28913664	24503574	23594756
TCGA-A6-3807-11A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	12275260	7766334	6928664
TCGA-A6-3808-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	12349386	7430328	6567550
TCGA-A6-3810-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	17481810	6038980	5371932
TCGA-A6-3810-11A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2501368	1819116	1506696
TCGA-AA-3509-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2948784	2471680	2274846
TCGA-AA-3509-11A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	8742734	7810984	7183074
TCGA-AA-3510-01A-01D-1405-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	11170874	9734442	8959498
TCGA-AA-3516-01A-02D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1396876	1016454	869564
TCGA-AA-3516-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1555826	1121972	948958
TCGA-AA-3548-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	23757870	10044542	8976830
TCGA-AA-3553-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2805186	2211298	2091454
TCGA-AA-3553-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1397648	861668	779508
TCGA-AA-3558-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2108294	1398378	1168296
TCGA-AA-3558-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2116300	1460366	1226968
TCGA-AA-3664-01A-01D-1167_101023_SN208_0166_A808PFABXX_s_5_rg.sorted.filtered	115207	7121526	5449010	4587388
TCGA-AA-3664-01A-01D-1167_110111_SN208_0178_B818TTABXX_s_5.rg.sorted.filtered	115207	32559630	7795774	7021452
TCGA-AA-3664-10A-01D-1167_110111_SN208_0178_B818TTABXX_s_6.rg.sorted.filtered	115207	13237966	4758350	4291922
TCGA-AA-3672-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	5274918	3714832	3367234
TCGA-AA-3672-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	9668182	7321190	6577664
TCGA-AA-3675-01A-02D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	682848	187588	128654
TCGA-AA-3675-01A-02D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	17863536	6886818	6018224
TCGA-AA-3675-10A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	829042	227368	151488
TCGA-AA-3675-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	19608474	10639244	9326698
TCGA-AA-3685-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	10425808	5634392	4876660
TCGA-AA-3688-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	3374550	1828628	1620944
TCGA-AA-3688-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	6297356	3586316	3094590
TCGA-AA-3692-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	3581282	2650410	2346476
TCGA-AA-3692-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	4900486	3702524	3264562
TCGA-AA-3693-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	5519334	3670626	3244606
TCGA-AA-3693-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	7308212	3436520	3088648
TCGA-AA-3715-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	6594468	5352462	4836982
TCGA-AA-3715-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	4820444	3703766	3298152
TCGA-AA-3947-01A-01D-1167-02_101023_SN208_0167_B80L4DABXX_s_1.rg.sorted.filtered	115207	13724358	8274860	7082852
TCGA-AA-3956-01A-02D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	32650666	10646272	9601684
TCGA-AA-3956-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	19565948	6734354	6033376
TCGA-AA-3966-01A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	613076	221338	173306
TCGA-AA-3966-10A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	664688	154244	99956
TCGA-AA-3968-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	30330458	19445610	17987762
TCGA-AA-3968-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	25098484	13849912	12630576
TCGA-AA-3970-01A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	487250	112654	73822
TCGA-AA-3970-10A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	468812	110726	67398
TCGA-AA-3994-01A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	795910	206574	140868
TCGA-AA-3994-10A-01D-1109-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	611456	152130	101328
TCGA-AA-A00U-01A-01D-A077-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1268976	867692	705076
TCGA-AA-A00U-10A-01D-A078_110429_SN590_0080_AC02UTABXX_s_1.rg.sorted.filtered	115207	1990468	1329344	1082152
TCGA-AA-A00Z-10A-01D-A078-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	1661948	1147768	923120
TCGA-AA-A01C-01A-01D-A077-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3068992	2337172	1995522
TCGA-AA-A01C-10A-01D-A078_110329_SN208_0198_B702NLABXX_s_6_rg.sorted.filtered	115207	1893930	802492	584206
TCGA-AA-A01D-01A-01D-A077-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2001670	1449996	1232082
TCGA-AA-A01D-10A-01D-A078_110329_SN208_0198_B702NLABXX_s_8_rg.sorted.filtered	115207	1349278	574172	394954
TCGA-AA-A02K-01A-21D-A079_110401_SN177_0152_A819RJABXX_s_2.rg.sorted.filtered	115207	9164856	6129096	5188256
TCGA-AA-A02K-10A-01D-A079_110401_SN177_0152_A819RJABXX_s_3.rg.sorted.filtered	115207	9741540	7698872	6897878
TCGA-AA-A02O-01A-21D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	7224770	5951896	5292552
TCGA-AA-A02O-11A-11D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	7855560	6515494	5813814
TCGA-AA-A02R-01A-01D-A077-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	8298678	6925912	6175822
TCGA-AA-A02W-01A-01D-A077_110406_SN177_0153_A818P3ABXX_s_1_rg.sorted.filtered	115207	8329970	7223472	5952828
TCGA-AA-A02W-10A-01D-A078_110406_SN177_0153_A818P3ABXX_s_2_rg.sorted.filtered	115207	11749508	9610446	7490956
TCGA-AA-A02Y-01A-43D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	8619370	7546198	5908008
TCGA-AA-A02Y-10A-01D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	5906508	5146702	4259092
TCGA-AA-A03F-01A-11D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	420	154	48
TCGA-AA-A03F-11A-12D-A079-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	7306382	6152044	5351788
TCGA-AF-2689-10A-01D-1167_101023_SN208_0167_B80L4DABXX_s_4_rg.sorted.filtered	115207	10275080	6746962	5885886
TCGA-AF-2692-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	28426078	15688000	14483998
TCGA-AF-2692-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	22268096	11861224	10672766
TCGA-AF-3913-01A-02D-1115-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3137906	2615442	2341242
TCGA-AF-3913-11A-01D-1115-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3194036	2641266	2353660
TCGA-AG-3574-01A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	11278948	5310750	4688860
TCGA-AG-3582-01A-01D-1167_101105_SN208_0168_A80A3BABXX_s_1_rg.sorted.filtered	115207	15278252	8929158	7425940
TCGA-AG-3582-10A-01D-1167_101105_SN208_0168_A80A3BABXX_s_2_rg.sorted.filtered	115207	4459286	3318988	2987088
TCGA-AG-3727-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	3776114	2976122	2654530
TCGA-AG-3727-01A-01D-1167_101105_SN208_0168_A80A3BABXX_s_3.rg.sorted.filtered	115207	18340752	4467510	3939080
TCGA-AG-3727-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	4528268	3697652	3298764
TCGA-AG-3728-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	5045596	3951382	3531460
TCGA-AG-3728-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	4322886	2476722	2211216
TCGA-AG-3878-01A-02D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	31447206	8612002	7769774
TCGA-AG-3878-10A-01D-1167-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	24209692	4864652	4335352
TCGA-AG-3881-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	5768904	4304826	3775000
TCGA-AG-3881-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	11459156	8909394	8103638
TCGA-AG-3882-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	7569606	5704980	5116336
TCGA-AG-3882-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	7384848	5443144	4940826
TCGA-AG-3885-01A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	8003068	6475392	5489608
TCGA-AG-3885-10A-01D-0957-02_IlluminaGAII-DNASeq_whole.filtered	115207	4024072	3116984	2740048
TCGA-AG-3890-10A-01D-1115-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3159120	2602124	2327290
TCGA-AG-3898-01A-01D-1115-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	3103392	2623318	2332762
TCGA-AG-3898-10A-01D-1115-02_IlluminaHiSeq-DNASeq_whole.filtered	115207	2829868	2369448	2115386
TCGA-AG-4005-10A-01D-1115_101122_SN177_0123_B20APUABXX_s_4_rg.sorted.filtered	115207	6064326	5090170	4455570
TCGA-AG-A002-10A-01D-A078-02_110217_SN208_0190_B81CLKABXX_s_2.rg.sorted.filtered	115207	18295902	7249178	5858082
TCGA-AG-A008-10A-01D-A078-02_110217_SN208_0190_B81CLKABXX_s_8.rg.sorted.filtered	115207	16117590	4648886	3850546
TCGA-AG-A01L-01A-01D-A077_110406_SN177_0154_B818URABXX_s_1_rg.sorted.filtered	115207	4617378	3687068	3281968
TCGA-AG-A01L-10A-01D-A078_110406_SN177_0154_B818URABXX_s_2_rg.sorted.filtered	115207	6685980	4538610	3873692
TCGA-AG-A01N-01A-01D-A077_110406_SN177_0154_B818URABXX_s_3.rg.sorted.filtered	115207	4393186	3393954	3018624
TCGA-AG-A01N-10A-01D-A078_110406_SN177_0154_B818URABXX_s_4.rg.sorted.filtered	115207	6698550	4864136	4089854
